city,warmseason_mean_t2m,t2m_p95,hot_days,heat_source
amsterdam,16.514,18.789,0,events_csv
athens,25.543,28.715,98,events_csv
barcelona,22.681,25.449,44,events_csv
berlin,17.962,20.73,0,events_csv
bologna,22.784,26.323,57,events_csv
bratislava,19.756,22.962,0,events_csv
brussels,16.875,19.288,0,events_csv
bucharest,22.122,25.683,33,events_csv
budapest,20.798,23.932,4,events_csv
cologne,17.551,20.175,0,events_csv
copenhagen,15.877,18.604,0,events_csv
dublin,13.99,15.551,0,events_csv
hamburg,16.596,19.265,0,events_csv
helsinki,15.097,18.571,0,events_csv
lisbon,20.795,22.467,0,events_csv
ljubljana,19.668,22.92,0,events_csv
lyon,19.629,22.694,0,events_csv
madrid,23.882,28.125,73,events_csv
marseille,21.498,24.415,3,events_csv
milan,22.745,25.836,49,events_csv
munich,17.404,20.392,0,events_csv
nantes,17.707,19.778,0,events_csv
naples,23.519,26.518,63,events_csv
palermo,23.901,27.084,71,events_csv
paris,18.747,21.434,0,events_csv
porto,20.558,22.963,0,events_csv
prague,17.741,20.679,0,events_csv
riga,16.087,19.247,0,events_csv
rome,23.275,26.56,65,events_csv
rotterdam,16.961,19.314,0,events_csv
sevilla,26.274,29.48,99,events_csv
sofia,20.328,23.612,1,events_csv
stockholm,14.964,18.301,0,events_csv
tallinn,14.8,18.173,0,events_csv
thessaloniki,24.293,27.647,79,events_csv
varna,21.907,25.229,25,events_csv
vienna,19.444,22.699,0,events_csv
vilnius,16.339,19.494,0,events_csv
warsaw,18.16,21.236,0,events_csv
zagreb,20.101,23.58,2,events_csv
