city,city_name,iso3,country,pop_k,capital,warmseason_mean_t2m,t2m_p95,hot_days,heat_source,pop_k_config,pop_k_model,pop_source,coef_lst_coverage_pct,climate_cluster,cluster_provisional,is_exemplar,city_label
dublin,Dublin,IRL,Ireland,1239.8,TRUE,13.99,15.551,0,events_csv,590,1239.8,model,26.7,Cool,FALSE,FALSE,Dublin
tallinn,Tallinn,EST,Estonia,419.7,TRUE,14.8,18.173,0,events_csv,460,419.7,model,31.1,Cool,FALSE,FALSE,Tallinn
stockholm,Stockholm,SWE,Sweden,969.6,TRUE,14.964,18.301,0,events_csv,980,969.6,model,11.1,Cool,FALSE,FALSE,Stockholm
helsinki,Helsinki,FIN,Finland,912.6,TRUE,15.097,18.571,0,events_csv,660,912.6,model,33.3,Cool,FALSE,FALSE,Helsinki
copenhagen,Copenhagen,DNK,Denmark,628.5,FALSE,15.877,18.604,0,events_csv,NA,628.5,model,26.7,Cool,FALSE,FALSE,Copenhagen
riga,Riga,LVA,Latvia,598.7,TRUE,16.087,19.247,0,events_csv,605,598.7,model,35,Cool,FALSE,FALSE,Riga
vilnius,Vilnius,LTU,Lithuania,493.4,TRUE,16.339,19.494,0,events_csv,580,493.4,model,22.9,Cool,FALSE,FALSE,Vilnius
amsterdam,Amsterdam,NLD,Netherlands,842.7,TRUE,16.514,18.789,0,events_csv,920,842.7,model,44.4,Cool,FALSE,TRUE,Amsterdam
hamburg,Hamburg,DEU,Germany,1710.7,FALSE,16.596,19.265,0,events_csv,1900,1710.7,model,53.3,Cool,FALSE,FALSE,Hamburg
brussels,Brussels,BEL,Belgium,1560,TRUE,16.875,19.288,0,events_csv,1210,1560,model,60,Cool,FALSE,FALSE,Brussels
rotterdam,Rotterdam,NLD,Netherlands,501,FALSE,16.961,19.314,0,events_csv,660,501,model,28.6,Cool,FALSE,FALSE,Rotterdam
munich,Munich,DEU,Germany,1447.6,FALSE,17.404,20.392,0,events_csv,1500,1447.6,model,35,Cool,FALSE,FALSE,Munich
cologne,Cologne,DEU,Germany,1186.8,FALSE,17.551,20.175,0,events_csv,1080,1186.8,model,62.2,Cool,FALSE,FALSE,Cologne
nantes,Nantes,FRA,France,321.7,FALSE,17.707,19.778,0,events_csv,320,321.7,model,34.3,Cool,FALSE,FALSE,Nantes
prague,Prague,CZE,Czechia,1297.7,TRUE,17.741,20.679,0,events_csv,1350,1297.7,model,33.3,Cool,FALSE,FALSE,Prague
berlin,Berlin,DEU,Germany,3682.9,TRUE,17.962,20.73,0,events_csv,3700,3682.9,model,42.2,Cool,FALSE,FALSE,Berlin
warsaw,Warsaw,POL,Poland,1820.6,TRUE,18.16,21.236,0,events_csv,1860,1820.6,model,37.5,Cool,FALSE,FALSE,Warsaw
paris,Paris,FRA,France,2317.8,TRUE,18.747,21.434,0,events_csv,2100,2317.8,model,57.1,Temperate,FALSE,FALSE,Paris
