City,Cluster,ΔGVI (points),AC gross (25y),AC net (25y),Waste-heat penalty (deaths),Penalty (% of gross),Penalty removed by trees (%),Greening benefit surviving AC (%)
Athens,Hot,9.6,536,167,368.9,68.8,0.4,92.2
Barcelona,Hot,29.9,720,405,315.3,43.8,0.3,95.1
Thessaloniki,Hot,40.9,101,59,42.5,42,0.5,97.2
Madrid,Hot,35.8,717,509,207.6,28.9,0,NA
Sevilla,Hot,11.3,402,296,106.5,26.5,0,NA
Naples,Hot,43.4,615,488,127.5,20.7,3.7,94.5
Milan,Hot,16.1,853,694,158.9,18.6,0.9,96
Bologna,Hot,5.8,166,142,24.8,14.9,0.6,93.8
Rome,Hot,23.1,818,698,120.1,14.7,0.4,94
Palermo,Hot,24.4,390,333,56.8,14.6,0.3,95.7
Porto,Temperate,31.3,70,23,47.3,67.5,0.7,96.4
Lisbon,Temperate,93.9,168,59,109.3,64.9,7.6,94.2
Paris,Temperate,77.3,319,206,112.9,35.4,2.5,93.8
Marseille,Temperate,49.6,186,136,49.4,26.6,1.8,92.2
Lyon,Temperate,35.9,121,90,30.9,25.6,2.1,92
Bratislava,Temperate,43.6,37,28,8.8,23.6,3,91
Bucharest,Temperate,3,447,350,96.6,21.6,0.1,92.9
Varna,Temperate,10.6,109,90,18.6,17.1,3.2,98.2
Budapest,Temperate,90.4,297,248,49.2,16.5,1.4,89.4
Vienna,Temperate,116.1,301,257,44.3,14.7,4.3,92
Sofia,Temperate,71.4,678,606,72,10.6,0.6,94.7
Ljubljana,Temperate,47.6,219,204,15,6.9,2.6,85.8
Zagreb,Temperate,63,310,293,17.9,5.8,2.1,93.7
Nantes,Cool,33.8,3,2,0.6,20.3,6.9,92.5
Prague,Cool,42.9,62,52,9.3,15,1,92.1
Rotterdam,Cool,70.6,26,22,3.6,14.1,8.5,94.1
Berlin,Cool,98.1,245,211,33.3,13.6,3,86.3
Munich,Cool,67.9,143,125,18.4,12.8,3.3,92.3
Warsaw,Cool,46.7,230,205,25.4,11.1,2.7,89.2
Cologne,Cool,38.8,96,87,9,9.4,4.1,91
Amsterdam,Cool,24.8,37,34,3.3,8.9,14.4,95.7
Stockholm,Cool,53.4,18,17,1.3,6.9,2.9,94.7
Brussels,Cool,146.1,53,49,3.5,6.7,9.8,90.6
Hamburg,Cool,18.8,35,33,1.9,5.3,12.6,82.5
Copenhagen,Cool,19.9,22,21,1.1,4.9,2.5,95
Helsinki,Cool,20.7,24,23,1,4,4.5,90.7
Riga,Cool,49.6,122,119,3,2.5,5.1,85.6
Vilnius,Cool,47.9,138,135,2.9,2.1,3.1,88.7
Tallinn,Cool,120.3,28,28,0.5,1.6,24.9,86.1
Dublin,Cool,21.8,2,2,0,0,NA,90.6
