city,kind,pop_k
amsterdam,synthetic,1150
athens,synthetic,3150
barcelona,synthetic,4800
berlin,synthetic,3600
bologna,synthetic,1000
bratislava,synthetic,660
brussels,synthetic,2080
bucharest,synthetic,2160
budapest,synthetic,1750
cologne,synthetic,1080
copenhagen,synthetic,1340
dublin,synthetic,1420
hamburg,synthetic,1840
helsinki,synthetic,1300
lisbon,synthetic,2960
ljubljana,synthetic,290
lyon,synthetic,1650
madrid,synthetic,6640
marseille,synthetic,1600
milan,real-copy,1370
munich,synthetic,1560
nantes,synthetic,950
naples,synthetic,3080
palermo,synthetic,850
paris,synthetic,11000
porto,synthetic,1720
prague,synthetic,1320
riga,synthetic,640
rome,real-copy,2800
rotterdam,synthetic,1180
sevilla,synthetic,1540
sofia,synthetic,1280
stockholm,synthetic,1660
tallinn,synthetic,440
thessaloniki,synthetic,1010
varna,synthetic,380
vienna,synthetic,1930
vilnius,synthetic,580
warsaw,synthetic,3100
zagreb,synthetic,810
