city,city_name,iso3,country,pop_k,capital,warmseason_mean_t2m,t2m_p95,hot_days,climate_cluster,cluster_provisional,is_exemplar,city_label
dublin,Dublin,IRL,Ireland,1420,FALSE,15.2,18.885,4,Cool,FALSE,FALSE,Dublin
tallinn,Tallinn,EST,Estonia,440,FALSE,16,19.367,8,Cool,FALSE,FALSE,Tallinn
helsinki,Helsinki,FIN,Finland,1300,FALSE,16.2,18.983,8,Cool,FALSE,FALSE,Helsinki
copenhagen,Copenhagen,DNK,Denmark,1340,FALSE,17,20.201,11,Cool,FALSE,FALSE,Copenhagen
stockholm,Stockholm,SWE,Sweden,1660,FALSE,17,19.881,12,Cool,FALSE,FALSE,Stockholm
amsterdam,Amsterdam,NLD,Netherlands,1150,FALSE,17.2,20.804,12,Cool,FALSE,FALSE,Amsterdam
riga,Riga,LVA,Latvia,640,FALSE,17.2,20.572,13,Cool,FALSE,TRUE,Riga
rotterdam,Rotterdam,NLD,Netherlands,1180,FALSE,17.3,20.322,13,Cool,FALSE,FALSE,Rotterdam
brussels,Brussels,BEL,Belgium,2080,FALSE,17.5,19.959,14,Cool,FALSE,FALSE,Brussels
hamburg,Hamburg,DEU,Germany,1840,FALSE,17.5,20.797,14,Cool,FALSE,FALSE,Hamburg
vilnius,Vilnius,LTU,Lithuania,580,FALSE,17.5,20.419,15,Cool,FALSE,FALSE,Vilnius
munich,Munich,DEU,Germany,1560,FALSE,18.5,21.722,20,Cool,FALSE,FALSE,Munich
cologne,Cologne,DEU,Germany,1080,FALSE,18.8,22.726,22,Cool,FALSE,FALSE,Cologne
berlin,Berlin,DEU,Germany,3600,FALSE,19.5,22.795,26,Temperate,FALSE,FALSE,Berlin
nantes,Nantes,FRA,France,950,FALSE,19.5,21.892,24,Temperate,FALSE,FALSE,Nantes
prague,Prague,CZE,Czechia,1320,FALSE,19.5,22.722,26,Temperate,FALSE,FALSE,Prague
paris,Paris,FRA,France,11000,FALSE,19.8,22.882,27,Temperate,FALSE,FALSE,Paris
warsaw,Warsaw,POL,Poland,3100,FALSE,19.8,22.775,28,Temperate,FALSE,FALSE,Warsaw
ljubljana,Ljubljana,SVN,Slovenia,290,FALSE,20.5,23.886,32,Temperate,FALSE,FALSE,Ljubljana
porto,Porto,PRT,Portugal,1720,FALSE,20.5,23.367,30,Temperate,FALSE,FALSE,Porto
vienna,Vienna,AUT,Austria,1930,FALSE,20.5,24.237,33,Temperate,FALSE,FALSE,Vienna
bratislava,Bratislava,SVK,Slovakia,660,FALSE,20.8,24.182,34,Temperate,FALSE,TRUE,Bratislava
lyon,Lyon,FRA,France,1650,FALSE,21,24.347,35,Temperate,FALSE,FALSE,Lyon
sofia,Sofia,BGR,Bulgaria,1280,FALSE,21.5,24.703,40,Temperate,FALSE,FALSE,Sofia
zagreb,Zagreb,HRV,Croatia,810,FALSE,21.5,24.44,38,Temperate,FALSE,FALSE,Zagreb
budapest,Budapest,HUN,Hungary,1750,FALSE,21.8,25.241,40,Temperate,FALSE,FALSE,Budapest
varna,Varna,BGR,Bulgaria,380,FALSE,22,24.445,42,Temperate,FALSE,FALSE,Varna
bucharest,Bucharest,ROU,Romania,2160,FALSE,22.5,25.696,48,Temperate,FALSE,FALSE,Bucharest
milan,Milan,ITA,Italy,1370,FALSE,22.733,25.831,48,Temperate,FALSE,FALSE,Milan
bologna,Bologna,ITA,Italy,1000,FALSE,23,26.29,52,Hot,FALSE,FALSE,Bologna
rome,Rome,ITA,Italy,2800,FALSE,23.244,26.522,65,Hot,FALSE,FALSE,Rome
marseille,Marseille,FRA,France,1600,FALSE,23.3,26.904,52,Hot,FALSE,FALSE,Marseille
lisbon,Lisbon,PRT,Portugal,2960,FALSE,23.5,27.599,55,Hot,FALSE,FALSE,Lisbon
barcelona,Barcelona,ESP,Spain,4800,FALSE,24,26.745,58,Hot,FALSE,FALSE,Barcelona
thessaloniki,Thessaloniki,GRC,Greece,1010,FALSE,24.8,28.13,68,Hot,FALSE,TRUE,Thessaloniki
naples,Naples,ITA,Italy,3080,FALSE,25,27.727,70,Hot,FALSE,FALSE,Naples
madrid,Madrid,ESP,Spain,6640,FALSE,25.2,28.855,72,Hot,FALSE,FALSE,Madrid
palermo,Palermo,ITA,Italy,850,FALSE,26,29.376,78,Hot,FALSE,FALSE,Palermo
athens,Athens,GRC,Greece,3150,FALSE,26.8,29.527,85,Hot,FALSE,FALSE,Athens
sevilla,Sevilla,ESP,Spain,1540,FALSE,27.5,30.876,92,Hot,FALSE,FALSE,Sevilla
