"URAU_CODE","year","pop","isol","prop_65p","popdens","ndvi","pm25","no2","imperv","tree","grass","water","woody","elevation","coast_dist","tmean","trange","prop_0004","prop_1014","prop_1519","prop_2024","prop_2529","prop_3034","prop_3539","prop_4044","prop_4549","prop_5054","prop_5559","prop_0509","prop_6064","prop_6569","prop_7074","prop_7579","prop_8084","prop_8599","lifexp_00","lifexp_05","lifexp_10","lifexp_15","lifexp_20","lifexp_25","lifexp_30","lifexp_35","lifexp_40","lifexp_45","lifexp_50","lifexp_55","lifexp_60","lifexp_65","lifexp_70","lifexp_75","lifexp_80","lifexp_85","gdp","educ","unempl","depriv","bedrates","deathrate_tot","deathrate_0004","deathrate_1014","deathrate_1519","deathrate_2024","deathrate_2529","deathrate_3034","deathrate_3539","deathrate_4044","deathrate_4549","deathrate_0509","deathrate_5054","deathrate_5559","deathrate_6064","deathrate_6569","deathrate_7074","deathrate_7579","deathrate_8084","deathrate_8599","isol2"
"AT001C",2000,1615438,NA,NA,NA,0.48338369519,18.7486686706543,NA,NA,NA,NA,NA,NA,184,342.324402992851,11.2208196721311,36.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,73.1,68.1,63.2,58.3,53.4,48.6,43.8,39.1,34.5,30.1,25.9,21.8,17.9,14.3,11,8.1,5.7,37200,19.2,7.4,NA,892.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2001,1550123,45,0.160075684316664,NA,0.48954311722,19.6659450531006,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.127698630137,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,73.6,68.6,63.6,58.7,53.9,49,44.2,39.5,34.8,30.4,26.2,22.2,18.2,14.6,11.2,8.3,5.8,38300,20,5.9,NA,870.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2002,NA,NA,NA,NA,0.47670890876,22.1490211486816,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.8287123287671,35.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,73.7,68.7,63.7,58.8,54,49.1,44.3,39.5,34.9,30.4,26.1,22.1,18.1,14.5,11.2,8.3,5.8,39100,20.5,7.5,NA,874.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2003,NA,NA,NA,NA,0.43821418241,23.0739688873291,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.5034794520548,40.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,73.5,68.5,63.6,58.8,54,49.2,44.3,39.6,34.9,30.4,26.1,22,18.2,14.4,11.1,8.1,5.5,39100,21.2,8.1,3.3,856.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2004,1598626,45,0.152430900035405,NA,0.46393392428,19.3969478607178,NA,NA,NA,NA,NA,NA,184,342.324402992851,9.77390710382514,39.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,74.2,69.2,64.3,59.4,54.6,49.7,44.9,40.1,35.4,30.9,26.6,22.5,18.7,15,11.6,8.6,6,39800,24.2,9.8,3.8,832.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2005,1632569,46,0.154346921937143,NA,0.49571815103,21.8492641448975,5.9404034614563,NA,NA,NA,NA,NA,184,342.324402992851,9.47753424657534,39.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.9,74.5,69.5,64.5,59.6,54.8,50,45.1,40.4,35.7,31.2,26.8,22.7,18.9,15.1,11.7,8.6,6.2,41000,23.3,9.3,3.5,810.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2006,1652449,46,0.158442408812617,NA,0.48950817607,22.0136489868164,6.5319676399231,NA,NA,NA,NA,NA,184,342.324402992851,10.1557534246575,42.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.3,74.7,69.8,64.8,60,55.1,50.3,45.4,40.6,35.9,31.4,27,22.9,19,15.3,12,9,6.5,42900,23.7,9.1,3.6,795.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2007,1661246,47,0.16249008274512,NA,0.4765197485,15.6462345123291,5.11298036575317,NA,NA,NA,NA,NA,184,342.324402992851,11.3097260273973,34.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,75,70.1,65.1,60.2,55.3,50.5,45.6,40.8,36.1,31.6,27.2,23.2,19.3,15.6,12,9.1,6.6,44400,22.6,8.7,3.3,803.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2008,1674909,NA,0.16445012833533,NA,0.476724851,15.9983596801758,5.28671264648438,NA,NA,NA,NA,NA,184,342.324402992851,10.9659836065574,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,75.4,70.4,65.5,60.5,55.7,50.8,46,41.1,36.4,31.8,27.5,23.3,19.4,15.8,12.3,9.2,6.6,45800,24.1,6.7,5.9,790.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2009,1687271,47,0.166830935872187,NA,0.50866687578,17.4086151123047,4.97824335098267,NA,NA,NA,NA,NA,184,342.324402992851,10.5645753424658,35.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.4,74.9,70,65,60.1,55.3,50.4,45.5,40.7,36,31.5,27.1,23,19.2,15.6,12.2,9.2,6.8,45300,26,8.3,4.6,797.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
