"URAU_CODE","0.0%","0.1%","0.2%","0.3%","0.4%","0.5%","0.6%","0.7%","0.8%","0.9%","1.0%","2.0%","3.0%","4.0%","5.0%","6.0%","7.0%","8.0%","9.0%","10.0%","11.0%","12.0%","13.0%","14.0%","15.0%","16.0%","17.0%","18.0%","19.0%","20.0%","21.0%","22.0%","23.0%","24.0%","25.0%","26.0%","27.0%","28.0%","29.0%","30.0%","31.0%","32.0%","33.0%","34.0%","35.0%","36.0%","37.0%","38.0%","39.0%","40.0%","41.0%","42.0%","43.0%","44.0%","45.0%","46.0%","47.0%","48.0%","49.0%","50.0%","51.0%","52.0%","53.0%","54.0%","55.0%","56.0%","57.0%","58.0%","59.0%","60.0%","61.0%","62.0%","63.0%","64.0%","65.0%","66.0%","67.0%","68.0%","69.0%","70.0%","71.0%","72.0%","73.0%","74.0%","75.0%","76.0%","77.0%","78.0%","79.0%","80.0%","81.0%","82.0%","83.0%","84.0%","85.0%","86.0%","87.0%","88.0%","89.0%","90.0%","91.0%","92.0%","93.0%","94.0%","95.0%","96.0%","97.0%","98.0%","99.0%","99.1%","99.2%","99.3%","99.4%","99.5%","99.6%","99.7%","99.8%","99.9%","100.0%"
"AT001C",-18.51,-12.40572,-11.16936,-10.49396,-10.10112,-9.6722,-9.26792,-8.41308,-8.06352,-7.70188,-7.5188,-5.6376,-4.52,-3.74,-3.07,-2.45,-1.9408,-1.52,-1.0996,-0.673999999999999,-0.32,0.04,0.41,0.73,1.03,1.3396,1.65,1.95,2.21,2.5,2.7852,3.0632,3.32,3.5844,3.83,4.07,4.3412,4.5868,4.86,5.128,5.37,5.68,5.95,6.22,6.5,6.75,7.03,7.3528,7.63,7.87,8.18,8.43,8.75,9.05,9.342,9.64,9.95,10.23,10.53,10.8,11.12,11.43,11.73,11.9724,12.27,12.54,12.8192,13.11,13.4,13.65,13.91,14.17,14.4128,14.7,14.954,15.22,15.42,15.7,15.9464,16.162,16.39,16.64,16.86,17.06,17.31,17.55,17.8,18.07,18.3,18.55,18.7736,19.02,19.3,19.5404,19.84,20.14,20.4,20.72,21.0284,21.3,21.59,21.88,22.2608,22.69,23.242,23.71,24.41,25.1176,26.34,26.47792,26.64704,26.90616,26.99,27.18,27.38176,27.7832,28.21,28.5439600000002,30.36
"AT002C",-16.29,-13.55,-12.52088,-11.40924,-10.84176,-10.5966,-10.37,-10.06388,-9.6776,-9.37396,-9.0244,-6.9464,-5.6,-4.73,-4.012,-3.44,-2.9108,-2.4504,-1.9896,-1.59,-1.2284,-0.9028,-0.5872,-0.281599999999999,-0.0560000000000014,0.18,0.44,0.65,0.87,1.09,1.31,1.52,1.78,2.02,2.27,2.5056,2.79,3.03,3.2824,3.528,3.8036,4.09,4.38,4.6904,5.03,5.37,5.66,5.94,6.24,6.48,6.83,7.12,7.4508,7.77,8.112,8.4,8.66,8.95,9.2544,9.53,9.85,10.16,10.44,10.7724,11.04,11.32,11.56,11.82,12.1,12.36,12.6,12.87,13.08,13.3,13.554,13.78,14.05,14.27,14.5464,14.8,15,15.25,15.47,15.71,15.93,16.17,16.41,16.61,16.84,17.058,17.34,17.6,17.81,18.07,18.3,18.5616,18.81,19.01,19.27,19.5,19.76,20.09,20.42,20.7928,21.18,21.68,22.2532,22.86,23.8532,24.00396,24.1146400000001,24.31,24.41,24.5444,24.77176,25.0384799999999,25.66616,26.0344000000002,28.46
"AT003C",-14.88,-12.58156,-11.06352,-10.34584,-9.87176,-9.4144,-8.7032,-8.26308,-8.08,-7.72584,-7.4332,-5.7888,-4.7164,-3.9252,-3.23,-2.64,-2.18,-1.58,-1.12,-0.773999999999999,-0.41,-0.1,0.18,0.44,0.74,0.93,1.21,1.43,1.68,1.96,2.14,2.3632,2.63,2.84,3.1,3.3456,3.6,3.78,4.0424,4.29,4.5736,4.79,5.05,5.33,5.58,5.8016,6.1,6.36,6.6684,6.94,7.2296,7.51,7.78,8.06640000000001,8.342,8.67,8.94,9.2788,9.59,9.91,10.19,10.51,10.81,11.06,11.33,11.6,11.85,12.1,12.36,12.61,12.83,13.08,13.3028,13.56,13.81,14.0396,14.29,14.5208,14.72,14.94,15.18,15.4,15.63,15.86,16.09,16.33,16.6,16.8,17.05,17.31,17.54,17.8,18.0148,18.3,18.57,18.85,19.1772,19.44,19.73,20.04,20.38,20.6552,20.97,21.3364,21.84,22.27,22.86,23.6476,24.84,24.96792,25.14,25.36,25.48528,25.7066,25.95176,26.23132,26.46352,27.03,27.81
"AT004C",-17.78,-14.1544,-12.96,-12.51,-12.04056,-11.6544,-11.24,-11.03924,-10.70408,-10.34356,-10.0632,-8.24,-6.8532,-5.89,-5.082,-4.4864,-3.93,-3.36,-2.79,-2.334,-1.9568,-1.66,-1.31,-1.03,-0.71,-0.47,-0.224799999999998,0.05,0.28,0.48,0.7,0.933200000000002,1.14,1.3744,1.58,1.77,1.99,2.1768,2.39,2.618,2.8236,3.06,3.3048,3.6,3.88,4.1416,4.37,4.6628,5,5.28,5.55,5.89,6.2208,6.5264,6.81,7.1,7.44,7.8188,8.0944,8.4,8.6856,9.0312,9.4,9.72240000000001,10.02,10.31,10.58,10.83,11.13,11.37,11.62,11.8172,12.08,12.3484,12.59,12.82,13.05,13.27,13.47,13.682,13.8876,14.1432,14.4,14.59,14.81,15.02,15.21,15.43,15.72,15.95,16.19,16.47,16.7,16.96,17.246,17.52,17.77,18.01,18.2884,18.6,18.8896,19.14,19.44,19.8,20.22,20.65,21.27,21.88,23.0844,23.18,23.24352,23.43308,23.64264,23.7644,23.89352,24.19132,24.54088,24.97088,26.27
"AT005C",-22.99,-18.35276,-17.29528,-16.54584,-16.14352,-15.4798,-14.88904,-14.59308,-14.35,-14.02,-13.7744,-11.86,-10.67,-9.8,-9.17,-8.46,-7.92,-7.39,-6.94,-6.514,-6.1584,-5.76,-5.34,-5.0016,-4.696,-4.35,-4,-3.6192,-3.2936,-3,-2.6824,-2.36,-2.11,-1.86,-1.58,-1.3444,-1.1488,-0.93,-0.65,-0.42,-0.2,0.01,0.25,0.49,0.77,0.97,1.2,1.43,1.67,1.93,2.17,2.44,2.72,2.9964,3.252,3.5176,3.75,4.0388,4.29,4.55,4.82,5.13,5.37,5.71240000000001,5.97,6.25,6.53,6.76,7.02,7.28599999999999,7.58,7.82,8.08,8.36,8.59,8.83,9.0852,9.37,9.59,9.82,10.03,10.27,10.51,10.74,10.96,11.18,11.4312,11.6668,11.9024,12.188,12.4236,12.7092,12.99,13.3004,13.546,13.79,14.02,14.3,14.5884,14.83,15.1,15.4,15.7208,16.12,16.52,16.89,17.3432,18.0788,19.0544,19.21,19.36704,19.55616,19.71264,19.8222,19.95176,20.21132,20.43176,20.9617600000001,22.6
"AT006C",-16.74,-13.35484,-12.17264,-11.68,-11.0988,-10.7422,-10.30056,-9.97232,-9.47352,-9.22396,-9.0144,-7.27,-5.9932,-5.1076,-4.412,-3.82,-3.3,-2.8252,-2.3396,-1.88,-1.46,-1.0928,-0.7372,-0.44,-0.156000000000001,0.0796000000000004,0.32,0.6,0.806399999999999,1.03,1.27,1.5,1.78,1.98,2.19,2.4,2.63,2.87,3.12,3.34,3.62,3.88,4.1348,4.43,4.71,5.0716,5.41,5.72,6.02,6.344,6.69,7.01519999999999,7.3,7.56,7.88,8.19,8.48,8.82,9.0744,9.35,9.64560000000001,9.92,10.18,10.5,10.77,11.06,11.2692,11.55,11.82,12.08,12.29,12.56,12.8128,13.0784,13.32,13.54,13.77,14,14.24,14.46,14.73,14.99,15.2,15.42,15.65,15.86,16.1212,16.39,16.6,16.788,17.03,17.25,17.51,17.78,18.04,18.27,18.5172,18.78,18.98,19.244,19.57,19.9,20.22,20.6064,20.96,21.45,21.96,22.5876,23.5588,23.67396,23.76352,24.00232,24.10528,24.3088,24.51056,24.82264,25.13088,25.6230800000001,27.75
"BE001C",-12.05,-6.92352,-6.09816,-5.3664,-4.87232,-4.5622,-4.20584,-3.96156,-3.62352,-3.53396,-3.3064,-2.0788,-1.1732,-0.4776,0.04,0.55,1.0192,1.4548,1.81,2.12,2.46,2.8272,3.2,3.5,3.83,4.0996,4.3452,4.56,4.76,4.982,5.19,5.42,5.61,5.84,5.99,6.18,6.38,6.57,6.76,6.97,7.17,7.33,7.52,7.69,7.89,8.06,8.24,8.43,8.6184,8.82,8.98,9.19,9.3708,9.57,9.752,9.96,10.1632,10.37,10.55,10.79,11,11.24,11.4268,11.65,11.89,12.11,12.28,12.49,12.69,12.89,13.0816,13.28,13.4728,13.65,13.8,13.99,14.16,14.3508,14.54,14.72,14.89,15.06,15.24,15.39,15.57,15.73,15.9212,16.09,16.27,16.48,16.66,16.84,17.0548,17.24,17.47,17.68,17.88,18.1328,18.38,18.644,18.95,19.3052,19.65,19.9964,20.452,20.9576,21.5332,22.4,23.7188,23.85792,24.03352,24.11924,24.35528,24.6388,24.86176,25.18396,25.73,26.5540800000005,29.08
"BE002C",-11.48,-7.03352,-6.1644,-5.55132,-4.55584,-4.2744,-3.8732,-3.63308,-3.44352,-3.23,-3.0464,-1.7452,-0.9232,-0.22,0.32,0.8336,1.35,1.7648,2.1304,2.516,2.85,3.21,3.5328,3.87,4.19,4.4196,4.67,4.89,5.1,5.3,5.52,5.73,5.93,6.1,6.27,6.4556,6.65,6.84,7.03,7.2,7.36,7.54,7.73,7.91,8.11,8.25,8.4672,8.65,8.8284,9.01,9.17,9.36,9.57,9.74,9.95,10.15,10.35,10.55,10.74,10.97,11.2156,11.47,11.66,11.9,12.118,12.34,12.55,12.74,12.94,13.12,13.31,13.51,13.7,13.8884,14.12,14.27,14.45,14.63,14.8064,14.98,15.1276,15.31,15.49,15.64,15.82,15.98,16.16,16.32,16.47,16.67,16.85,17.07,17.27,17.46,17.65,17.86,18.05,18.3228,18.5684,18.82,19.0996,19.41,19.8008,20.08,20.512,21,21.67,22.4588,23.9444,24.12792,24.19352,24.3677199999999,24.58264,24.8122,25.09,25.42528,25.9944,26.38132,29.25
"BE003C",-11.1,-6.45528,-5.92528,-5.21528,-4.48528,-4.0832,-3.74792,-3.43924,-3.17408,-2.97396,-2.85,-1.6388,-0.7632,-0.08,0.458000000000001,0.98,1.5592,1.96,2.3404,2.67,2.98,3.3272,3.66,4.03,4.3,4.55,4.79,5.01,5.22,5.4,5.63,5.85,6.04,6.22,6.41,6.57,6.75,6.94,7.11,7.27,7.4536,7.62,7.81,8.03,8.2,8.35,8.54,8.7428,8.9484,9.09,9.25,9.45,9.6308,9.83,10.02,10.18,10.36,10.57,10.7744,11.02,11.2756,11.4612,11.69,11.89,12.09,12.32,12.51,12.7,12.88,13.09,13.29,13.48,13.7028,13.86,14.054,14.2096,14.3752,14.57,14.74,14.91,15.05,15.22,15.3888,15.58,15.75,15.9,16.08,16.24,16.42,16.58,16.78,16.98,17.16,17.35,17.526,17.73,17.92,18.14,18.39,18.66,18.94,19.25,19.5608,19.91,20.34,20.82,21.4032,22.26,23.68,23.85584,24,24.15924,24.38,24.67,24.85528,25.23396,25.62232,26.4130800000001,29.13
