city,country,region,ews_archetype_PROVISIONAL,PLI,capex_per_user_product,capex_per_user_installed,ac_maint_rate,ac_lifetime_years,capex_per_tree_street,capex_per_tree_park,om_per_tree_street,om_per_tree_park,opex_basic,opex_enhanced,opex_incremental,opex_annual_fixed_if_enabled,pavanello_usd_per_capita_per_day,ews_ramp_years,ews_ramp_initial_efficacy,retrofit_rate_raw,retrofit_rate_per_year,pct_reduction_per_gvi_point,pct_gvi_is_placeholder
amsterdam,NL,W,mature_hhwws,115.6,859,1784,0.04,12,2890,809,173,75,9844,17668,7824,252402,0.014,3,0.1,0.0092,0.0092,0.008,yes
athens,GR,S,mature_hhwws,87.4,649,1349,0.04,12,2185,612,131,57,7442,13358,5916,190830,0.014,3,0.1,0.0093,0.0093,0.008,yes
barcelona,ES,S,mature_hhwws,91.6,681,1413,0.04,12,2290,641,137,60,7800,14000,6200,200000,0.014,3,0.1,0.0121,0.0121,0.008,yes
berlin,DE,W,mature_hhwws,108.3,805,1671,0.04,12,2708,758,162,70,9222,16552,7330,236463,0.014,3,0.1,0.0089,0.0089,0.008,yes
bologna,IT,S,mature_hhwws,97.1,721,1498,0.04,12,2428,680,146,63,8268,14841,6572,212009,0.014,3,0.1,0.0138,0.0138,0.008,yes
bratislava,SK,E,weak_threshold,85.2,633,1315,0.04,12,2130,596,128,55,7255,13022,5767,186026,0.014,3,0.1,0.0099,0.0099,0.008,yes
brussels,BE,W,mature_hhwws,116.2,863,1793,0.04,12,2905,813,174,76,9895,17760,7865,253712,0.014,3,0.1,0.0138,0.0138,0.008,yes
bucharest,RO,E,weak_threshold,65.1,484,1004,0.04,12,1628,456,98,42,5543,9950,4406,142140,0.014,3,0.1,0.0187,0.0187,0.008,yes
budapest,HU,E,weak_threshold,77.5,576,1196,0.04,12,1938,542,116,50,6599,11845,5246,169214,0.014,3,0.1,0.008,0.008,0.008,yes
cologne,DE,W,mature_hhwws,108.3,805,1671,0.04,12,2708,758,162,70,9222,16552,7330,236463,0.014,3,0.1,0.0089,0.0089,0.008,yes
copenhagen,DK,N,mature_hhwws,139.7,1038,2156,0.04,12,3492,978,210,91,11896,21352,9456,305022,0.014,3,0.1,0.0065,0.0065,0.008,yes
dublin,IE,W,mature_hhwws,136.2,1012,2102,0.04,12,3405,953,204,89,11598,20817,9219,297380,0.014,3,0.1,0.0075,0.0075,0.008,yes
hamburg,DE,W,mature_hhwws,108.3,805,1671,0.04,12,2708,758,162,70,9222,16552,7330,236463,0.014,3,0.1,0.0089,0.0089,0.008,yes
helsinki,FI,N,mature_hhwws,120.8,898,1864,0.04,12,3020,846,181,79,10286,18463,8176,263755,0.014,3,0.1,0.0048,0.0048,0.008,yes
lisbon,PT,S,mature_hhwws,86.6,643,1336,0.04,12,2165,606,130,56,7374,13236,5862,189083,0.014,3,0.1,0.0139,0.0139,0.008,yes
ljubljana,SI,E,weak_threshold,89.3,663,1378,0.04,12,2232,625,134,58,7604,13648,6044,194978,0.014,3,0.1,0.0104,0.0104,0.008,yes
lyon,FR,W,mature_hhwws,110.3,820,1702,0.04,12,2758,772,165,72,9392,16858,7466,240830,0.014,3,0.1,0.0109,0.0109,0.008,yes
madrid,ES,S,mature_hhwws,91.6,681,1413,0.04,12,2290,641,137,60,7800,14000,6200,200000,0.014,3,0.1,0.0121,0.0121,0.008,yes
marseille,FR,S,mature_hhwws,110.3,820,1702,0.04,12,2758,772,165,72,9392,16858,7466,240830,0.014,3,0.1,0.0109,0.0109,0.008,yes
milan,IT,S,mature_hhwws,97.1,721,1498,0.04,12,2428,680,146,63,8268,14841,6572,212009,0.014,3,0.1,0.0138,0.0138,0.008,yes
munich,DE,W,mature_hhwws,108.3,805,1671,0.04,12,2708,758,162,70,9222,16552,7330,236463,0.014,3,0.1,0.0089,0.0089,0.008,yes
nantes,FR,W,mature_hhwws,110.3,820,1702,0.04,12,2758,772,165,72,9392,16858,7466,240830,0.014,3,0.1,0.0109,0.0109,0.008,yes
naples,IT,S,mature_hhwws,97.1,721,1498,0.04,12,2428,680,146,63,8268,14841,6572,212009,0.014,3,0.1,0.0138,0.0138,0.008,yes
palermo,IT,S,mature_hhwws,97.1,721,1498,0.04,12,2428,680,146,63,8268,14841,6572,212009,0.014,3,0.1,0.0138,0.0138,0.008,yes
paris,FR,W,mature_hhwws,110.3,820,1702,0.04,12,2758,772,165,72,9392,16858,7466,240830,0.014,3,0.1,0.0109,0.0109,0.008,yes
porto,PT,S,mature_hhwws,86.6,643,1336,0.04,12,2165,606,130,56,7374,13236,5862,189083,0.014,3,0.1,0.0139,0.0139,0.008,yes
prague,CZ,E,weak_threshold,89.4,664,1379,0.04,12,2235,626,134,58,7613,13664,6051,195197,0.014,3,0.1,0.0146,0.0146,0.008,yes
riga,LV,E,weak_threshold,83.2,618,1284,0.04,12,2080,582,125,54,7085,12716,5631,181659,0.014,3,0.1,0.0081,0.0081,0.008,yes
rome,IT,S,mature_hhwws,97.1,721,1498,0.04,12,2428,680,146,63,8268,14841,6572,212009,0.014,3,0.1,0.0138,0.0138,0.008,yes
rotterdam,NL,W,mature_hhwws,115.6,859,1784,0.04,12,2890,809,173,75,9844,17668,7824,252402,0.014,3,0.1,0.0092,0.0092,0.008,yes
sevilla,ES,S,mature_hhwws,91.6,681,1413,0.04,12,2290,641,137,60,7800,14000,6200,200000,0.014,3,0.1,0.0121,0.0121,0.008,yes
sofia,BG,E,weak_threshold,62.5,464,964,0.04,12,1562,438,94,41,5322,9552,4230,136463,0.014,3,0.1,0.0185,0.0185,0.008,yes
stockholm,SE,N,mature_hhwws,121.0,899,1867,0.04,12,3025,847,182,79,10303,18493,8190,264192,0.014,3,0.1,0.0087,0.0087,0.008,yes
tallinn,EE,E,weak_threshold,101.2,752,1562,0.04,12,2530,708,152,66,8617,15467,6850,220961,0.014,3,0.1,0.0085,0.0085,0.008,yes
thessaloniki,GR,S,mature_hhwws,87.4,649,1349,0.04,12,2185,612,131,57,7442,13358,5916,190830,0.014,3,0.1,0.0093,0.0093,0.008,yes
varna,BG,E,weak_threshold,62.5,464,964,0.04,12,1562,438,94,41,5322,9552,4230,136463,0.014,3,0.1,0.0185,0.0185,0.008,yes
vienna,AT,W,mature_hhwws,113.0,840,1744,0.04,12,2825,791,170,73,9622,17271,7648,246725,0.014,3,0.1,0.0129,0.0129,0.008,yes
vilnius,LT,E,weak_threshold,82.8,615,1278,0.04,12,2070,580,124,54,7051,12655,5604,180786,0.014,3,0.1,0.0079,0.0079,0.008,yes
warsaw,PL,E,weak_threshold,73.3,545,1131,0.04,12,1832,513,110,48,6242,11203,4961,160044,0.014,3,0.1,0.0148,0.0148,0.008,yes
zagreb,HR,S,mature_hhwws,78.4,583,1210,0.04,12,1960,549,118,51,6676,11983,5307,171179,0.014,3,0.1,0.0171,0.0171,0.008,yes
