city,tmax_jja_c,ref_provisional
amsterdam,,
athens,,29.66 (warmseason_max 2020; CONFIRM)
barcelona,,
berlin,,
bologna,,
bratislava,,
brussels,,
bucharest,,
budapest,,
cologne,,
copenhagen,,n/a in diagnostic (cold-city track)
dublin,,
hamburg,,
helsinki,,
lisbon,,24.67 (warmseason_max 2020; CONFIRM)
ljubljana,,
lyon,,
madrid,,
marseille,,
milan,,
munich,,
nantes,,
naples,,
palermo,,
paris,,
porto,,
prague,,
riga,,
rome,,28.19 (warmseason_max 2020; CONFIRM=JJA-mean-daily-max)
rotterdam,,
sevilla,,
sofia,,
stockholm,,
tallinn,,
thessaloniki,,
varna,,
vienna,,
vilnius,,
warsaw,,
zagreb,,
