city,tmax_jja_c,pct_reduction_per_gvi_point,pct_gvi_is_placeholder
amsterdam,,0.008,yes
athens,,0.008,yes
barcelona,,0.008,yes
berlin,,0.008,yes
bologna,,0.008,yes
bratislava,,0.008,yes
brussels,,0.008,yes
bucharest,,0.008,yes
budapest,,0.008,yes
cologne,,0.008,yes
copenhagen,,0.008,yes
dublin,,0.008,yes
hamburg,,0.008,yes
helsinki,,0.008,yes
lisbon,,0.008,yes
ljubljana,,0.008,yes
lyon,,0.008,yes
madrid,,0.008,yes
marseille,,0.008,yes
milan,,0.008,yes
munich,,0.008,yes
nantes,,0.008,yes
naples,,0.008,yes
palermo,,0.008,yes
paris,,0.008,yes
porto,,0.008,yes
prague,,0.008,yes
riga,,0.008,yes
rome,,0.008,yes
rotterdam,,0.008,yes
sevilla,,0.008,yes
sofia,,0.008,yes
stockholm,,0.008,yes
tallinn,,0.008,yes
thessaloniki,,0.008,yes
varna,,0.008,yes
vienna,,0.008,yes
vilnius,,0.008,yes
warsaw,,0.008,yes
zagreb,,0.008,yes
