country_iso,country,rate_below,rate_light,rate_medium,rate_deep,sav_below,sav_light,sav_medium,sav_deep,weighted_rate_per_year
AT,Austria,6.3,3.3,1.7,0.2,0.3,12.7,42.1,66.8,0.01287
BE,Belgium,7.8,6.5,1.0,0.2,0.4,12.4,40.8,66.4,0.01378
BG,Bulgaria,10.1,8.6,1.3,0.1,0.0,14.6,40.4,71.7,0.01852
CY,Cyprus,9.9,3.2,2.0,0.4,0.2,14.5,44.5,64.0,0.0163
CZ,Czech Republic,6.7,5.2,1.6,0.1,0.2,14.1,40.4,65.4,0.01458
DE,Germany,5.4,3.5,0.9,0.1,0.2,12.6,41.7,66.1,0.00893
DK,Denmark,3.6,3.2,0.6,0.0,0.3,12.1,41.4,66.9,0.00646
EE,Estonia,6.8,3.6,0.7,0.1,0.3,13.7,37.5,69.9,0.00846
ES,Spain,13.0,2.1,1.7,0.3,0.1,14.4,41.0,66.1,0.01211
FI,Finland,6.4,3.2,0.3,0.0,0.2,11.1,37.5,0.0,0.00481
FR,France,7.4,4.7,1.0,0.2,0.3,11.2,41.0,66.3,0.01091
GR,Greece,5.3,2.3,1.1,0.2,0.1,13.2,44.5,66.1,0.00931
HR,Croatia,13.4,6.7,1.5,0.1,0.1,15.0,41.4,68.1,0.01708
HU,Hungary,5.0,2.9,0.9,0.1,0.3,12.5,39.6,62.0,0.00796
IE,Ireland,3.9,3.4,0.6,0.1,0.3,12.0,43.8,63.9,0.00746
IT,Italy,8.0,4.0,1.5,0.3,0.3,13.5,40.8,67.0,0.01377
LT,Lithuania,5.1,2.9,0.7,0.2,0.3,12.4,41.2,64.7,0.00793
LU,Luxembourg,4.3,2.3,0.4,0.1,0.2,12.5,43.5,73.4,0.00544
LV,Latvia,5.4,3.4,0.9,0.0,0.2,12.8,40.7,72.7,0.00812
MT,Malta,10.0,2.4,0.6,0.1,0.1,12.5,45.6,63.7,0.00647
NL,Netherlands,7.5,4.3,0.8,0.1,0.2,12.2,39.1,67.1,0.0092
PL,Poland,8.9,7.0,1.5,0.0,0.3,12.8,37.2,62.3,0.01481
PT,Portugal,8.8,6.0,1.3,0.1,0.3,12.7,41.7,63.7,0.01394
RO,Romania,13.4,9.3,1.3,0.1,0.2,13.3,41.5,64.1,0.01867
SE,Sweden,8.0,4.3,0.7,0.1,0.3,11.4,41.0,67.3,0.00869
SI,Slovenia,5.4,3.1,1.3,0.1,0.2,14.8,39.1,62.4,0.0104
SK,Slovakia,5.1,3.5,1.0,0.1,0.2,14.3,41.9,65.1,0.00995
