fold,n_zones,spearman,wmae
Amsterdam,147,0.752667015499066,0.1487153161148462
Barcelona,40,0.36426096526057367,0.24234782582688888
Bari,11,0.9306354883056527,0.11441656242849596
Bologna,19,0.6465949874720356,0.16659318787376617
Brussels-Capital Region,651,0.7487865030809591,0.13685558513555623
Copenhagen,9,0.8640381905301611,0.1593334345278844
Firenze,21,-0.003374922632116156,0.31376741966060934
Genova,43,0.7837136635607674,0.1583296723591726
Granada,15,0.7613008693393116,0.15319903610961527
Göteborg,144,0.6557066998784734,0.15707210129304228
Helsinki,83,0.8611359254252761,0.11019528282110357
Lisbon,24,0.46883738505577327,0.21199817735772475
Lyon,169,0.31207164497433165,0.2301122622366708
Madrid,55,0.7012256249088173,0.1493874111735745
Malmö,91,0.6793195189166196,0.1696992341670345
Marseille,336,0.658914005539275,0.2065048160217735
Milano,38,0.8437843808250366,0.1278904084183997
Napoli,25,0.8509751923278059,0.12789449167359399
Palermo,24,0.7689968661708855,0.15732315156757784
Paris,870,0.5816274645138603,0.21759376913144118
Roma,72,0.6314226441838763,0.17355753884731095
Rotterdam,64,0.7614460342059582,0.13994744200800222
Sevilla,20,0.6114167910737834,0.1722997864729089
Stockholm,127,0.6951025194808635,0.16154792059967296
The Hague,80,0.7645659907555009,0.14722380155612733
Torino,33,0.9085515710954587,0.0875661989340874
Trieste,28,0.6837721412842718,0.16147148128798985
Venezia,17,0.4536271542447724,0.21048662866303833
Zürich,34,0.16941598795403953,0.2303497635766162
