country,n_cities,n_zones,spearman,wmae
CH,1,34,-0.0029076728197963597,0.2407586576685111
PT,1,24,0.39440784401784384,0.22965770726820822
FR,3,1375,0.4130005454796436,0.22696783258266406
IE,5,719,0.47309098157508667,0.20806014078357968
NO,109,1050,0.5878703222557126,0.2096549199245369
ES,4,130,0.5950905772433209,0.18866804542387075
GR,1,53,0.6310869390058209,0.1791229506976694
IT,11,331,0.7097537085823861,0.15683715492344147
SE,3,362,0.7130386507765591,0.15702762060147485
NL,3,291,0.7322920717816386,0.15023927282701727
BE,1,651,0.7530888262931104,0.13988896588285896
DK,1,9,0.7968570743337869,0.18313285433069354
AT,1,23,0.8488987701696561,0.11941594612622788
FI,1,83,0.8732579499637497,0.13298809892337293
