fold,n_zones,spearman,wmae
Amsterdam,147,0.7316042016672079,0.17156852502070732
Athens,53,0.6977501936430808,0.11303761525943602
Barcelona,40,0.48373562726106406,0.34478847790433753
Bari,11,0.9161821298417873,0.07033754220809468
Bologna,19,0.7267622386222891,0.11487928688198666
Brussels-Capital Region,651,0.7301163461929076,0.16454014336405073
Copenhagen,9,0.8834572793050995,0.10135126878090331
Firenze,21,0.11508828638863505,0.18154754061712375
Genova,43,0.8237792205708466,0.15439221966520297
Granada,15,0.821906059773491,0.08993389103845818
Göteborg,144,0.7176630265053434,0.1177929756200287
Helsinki,83,0.8612175279280706,0.11846447739540779
Lisbon,24,0.27586804565945783,0.20673132693073992
Lyon,169,0.4506832098715139,0.16729572699280543
Madrid,55,0.7066585369486327,0.25872887389801613
Malmö,91,0.7209467454870921,0.15374361980454018
Marseille,336,0.7268682392144936,0.2593225518999303
Milano,38,0.8299775507879349,0.20187942799150857
Napoli,25,0.7845585128095239,0.15486608770466403
Palermo,24,0.8099640858164152,0.11525750565414299
Paris,870,0.6014371370924734,0.20758715543390727
Roma,72,0.704815353311478,0.178234240211624
Rotterdam,64,0.7989814516402034,0.11435556613765839
Sevilla,20,0.6672454484041936,0.18772638521825366
Stockholm,127,0.7146739725025046,0.14227637607881474
The Hague,80,0.7492196056915521,0.14783083468529146
Torino,33,0.9202899313744191,0.09375031419964533
Trieste,28,0.6246967381107235,0.12221128582494228
Venezia,17,0.4061052590585556,0.16080956338203709
Zürich,34,0.18126106115513216,0.1323925867900762
