fold,n_zones,spearman,wmae
Amsterdam,147,0.7420377430773262,0.15221193376281988
Barcelona,40,0.5751962852989388,0.21798439564014468
Bari,11,0.9299050692865365,0.10196259049256488
Bologna,19,0.7241261282641172,0.14409114876790788
Brussels-Capital Region,651,0.7487865030809591,0.13685558513555623
Copenhagen,9,0.8640381905301611,0.1593334345278844
Firenze,21,0.21114419947990024,0.26396882437008085
Genova,43,0.8099463220711263,0.1334710390567733
Granada,15,0.7885873177559753,0.13107425627402658
Göteborg,144,0.7514411215527145,0.1390673892548224
Helsinki,83,0.8611359254252761,0.11019528282110357
Lisbon,24,0.46883738505577327,0.21199817735772475
Lyon,169,0.41914301253518355,0.21301087935138538
Madrid,55,0.7640666978068745,0.13430580010941323
Malmö,91,0.7406239334250981,0.15715193121141985
Marseille,336,0.7417879922909012,0.16977259139114703
Milano,38,0.8650477892165592,0.12507405277388015
Napoli,25,0.8657492049901577,0.08865863669102929
Palermo,24,0.8666280934235784,0.13641903278872378
Paris,870,0.577269698482086,0.18577915935161365
Roma,72,0.6668887728554646,0.1594012069628954
Rotterdam,64,0.7696390262518009,0.13872716730696982
Sevilla,20,0.5757767157091545,0.1953017819065458
Stockholm,127,0.7566289539409186,0.14914664127487365
The Hague,80,0.7537694279568292,0.1376911953604941
Torino,33,0.9082248877531356,0.08143335557237721
Trieste,28,0.7950131647159537,0.1438579174594473
Venezia,17,0.43557794335117306,0.22401908322345884
Zürich,34,0.16941598795403953,0.2303497635766162
