muni_id,ac_base_muni,ac_policy_muni,ac_policy_uniform,pop_muni,year,region_name
1,0.8148612172886672,0.8747775909346301,0.8740485877119728,87993.67498034239,2020,1η ΔΚ
2,0.7026310334819306,0.7651705079295191,0.7964640635543935,105523.7740945816,2020,2η ΔΚ
3,0.536839647585623,0.7116079681773557,0.6411676175482187,79115.74443167448,2020,3η ΔΚ
4,0.4830563894086977,0.699999988079071,0.5873843521276579,79591.70408248901,2020,4η ΔΚ
5,0.7057656994098432,0.7530615726053735,0.8100936630452745,87088.47256088257,2020,5η ΔΚ
6,0.594875717806275,0.7157538859377279,0.6989701408601805,96249.48280906677,2020,6η ΔΚ
7,0.874969958745172,0.874969958745172,0.9432398025862667,116401.91031312943,2020,7η ΔΚ
1,0.8147732071051148,0.8747048784554237,0.8739997717660829,82375.50990962982,2030,1η ΔΚ
2,0.7025276370854334,0.7651280309055121,0.7963605771304526,98843.65953540802,2030,2η ΔΚ
3,0.5368514451663434,0.7116256434680611,0.6411794151355894,74155.23296153545,2030,3η ΔΚ
4,0.483030641963822,0.6999999880790709,0.587358604683282,74363.92086219788,2030,4η ΔΚ
5,0.7057103691337441,0.7530374058608524,0.8100383327744943,81369.19468688965,2030,5η ΔΚ
6,0.5947817596904795,0.7157475064465945,0.6988760938708783,89923.26468849182,2030,6η ΔΚ
7,0.8750284786722974,0.8750284786722974,0.9432815167379445,108571.74377822876,2030,7η ΔΚ
1,0.8242464227984275,0.8831440080188526,0.8762603825835892,80430.54459416866,2040,1η ΔΚ
2,0.7128110598170121,0.7690822242121002,0.8026264464855188,96515.8129067421,2040,2η ΔΚ
3,0.5451928604110778,0.713248763613863,0.6473422955713714,72403.2392436266,2040,3η ΔΚ
4,0.4904448911577583,0.699999988079071,0.5928626036708318,72608.96807670593,2040,4η ΔΚ
5,0.7169359645109972,0.7601826755931922,0.8193536719542346,79443.2929649353,2040,5η ΔΚ
6,0.6041070423235103,0.7212496242512805,0.706229840697245,87799.69527816772,2040,6η ΔΚ
7,0.8872046433680824,0.8872046433680824,0.9480227665921979,106013.1208319664,2040,7η ΔΚ
1,0.8242426579333921,0.8831416049028619,0.8762578999004161,78744.4336912632,2050,1η ΔΚ
2,0.7128052533218721,0.7690786557140606,0.8026212823746787,94499.69344425201,2050,2η ΔΚ
3,0.5451958537345071,0.7132490646871413,0.6473452834911825,70885.620701015,2050,3η ΔΚ
4,0.49044462545024975,0.699999988079071,0.592862337963306,71088.08798408508,2050,4η ΔΚ
5,0.7169344749255028,0.7601817402872615,0.8193521823687401,77775.93115234375,2050,5η ΔΚ
6,0.6041050464248767,0.7212494753477513,0.7062278396824478,85959.59585952759,2050,6η ΔΚ
7,0.8872083333917526,0.8872083333917526,0.9480250971124974,103795.59740018845,2050,7η ΔΚ
