year,activity_share,activity_days_equiv,pen_base,pen_current,pen_policy,dT_night_base,dT_night_current,dT_night_policy,dT_night_incremental,dT_dm_base,dT_dm_current,dT_dm_policy,dT_dm_incremental,marginal_perC,marginal_current_full_perC,marginal_policy_full_perC,marginal_current_active_perC,marginal_policy_active_perC,penalty_base,penalty_current,penalty_policy,penalty_incremental
2020,0.37081055748060415,135.71666403790113,0.6861342788814336,0.6861342788814336,0.7761987878937636,0.8201842615592599,0.8201842615592599,0.955285244372524,0.1351009828132641,0.41009213077962997,0.41009213077962997,0.477642622186262,0.06755049140663205,233.07098520869428,628.5446315019913,618.4546718756003,233.07098520869428,229.32952165467546,95.58057694714105,95.58057694714105,109.53755406786034,13.956977120719287
2021,0.3722134502539106,136.19163884440994,0.6861234930862559,0.6861234930862559,0.7761949050165633,0.8201681396398356,0.8201681396398356,0.9552793992579199,0.13511125961808435,0.4100840698199178,0.4100840698199178,0.47763969962895997,0.06755562980904217,234.72063663229588,630.6076163346003,620.5104896849305,234.72063663229588,230.96235028437158,96.25519394089397,96.25519394089397,110.31678761542588,14.061593674531906
2022,0.37361634302721713,136.66661365091875,0.686112565281485,0.686112565281485,0.7761909710160289,0.8201518054675091,0.8201518054675091,0.9552734771862832,0.1351216717187741,0.41007590273375455,0.41007590273375455,0.4776367385931416,0.06756083585938705,236.37607634892373,632.6706011672093,622.5663074942607,236.37607634892373,232.60094709796365,96.93213289344779,96.93213289344779,111.09875776554722,14.166624872099433
2023,0.3750192358005236,137.14158845742753,0.6861014926439125,0.6861014926439125,0.7761869848758075,0.820135254822886,0.820135254822886,0.9552674766277132,0.1351322218048272,0.410067627411443,0.410067627411443,0.4776337383138566,0.0675661109024136,238.0373043585778,634.7335859998184,624.6221253035909,238.0373043585778,234.24531209545157,97.61139263373754,97.61139263373754,111.88346409864658,14.272071464909047
2024,0.3764221285738301,137.61656326393634,0.6860902722749954,0.6860902722749954,0.7761829455524263,0.8201184833739896,0.8201184833739896,0.9552613960114857,0.13514291263749612,0.4100592416869948,0.4100592416869948,0.47763069800574287,0.06757145631874806,239.7043206612581,636.7965708324274,626.6779431129212,239.7043206612581,235.8954452768354,98.29297195945173,98.29297195945173,112.67090618395041,14.377934224498674
2025,0.3778250213471366,138.09153807044515,0.6860789011983262,0.6860789011983262,0.7761788519743809,0.8201014866724793,0.8201014866724793,0.9552552337246835,0.13515374705220418,0.41005074333623964,0.41005074333623964,0.47762761686234173,0.06757687352610209,241.37712525696458,638.8595556650364,628.7337609222513,241.37712525696458,237.55134664211508,98.97686963598295,98.97686963598295,113.46108357911346,14.484213943130513
2026,0.37922791412044304,138.56651287695396,0.686067376357001,0.686067376357001,0.7761747030411885,0.8200842601497188,0.8200842601497188,0.9552489881107689,0.13516472796105006,0.4100421300748594,0.4100421300748594,0.47762449405538443,0.06758236398052503,243.05571814569726,640.9225404976454,630.7895787315815,243.05571814569726,239.21301619129065,99.66308439533636,99.66308439533636,114.25399582982767,14.590911434491318
2027,0.38063080689374956,139.04148768346278,0.6860556946108798,0.6860556946108798,0.7761704976224015,0.8200667991126803,0.8200667991126803,0.9552426574680996,0.13517585835541923,0.41003339955634016,0.41003339955634016,0.4776213287340498,0.06758792917770962,244.7400993274562,642.9855253302544,632.8453965409118,244.7400993274562,240.88045392436217,100.35161493499322,100.35161493499322,115.04964246941492,14.698027534421698
2028,0.382033699667056,139.51646248997156,0.6860438527337334,0.6860438527337334,0.77616623455658,0.8200490987396827,0.8200490987396827,0.9552362400483828,0.13518714130870013,0.41002454936984134,0.41002454936984134,0.4776181200241914,0.06759357065435007,246.43026880224133,645.0485101628635,634.901214350242,246.43026880224133,242.5536598413295,101.04245991672788,101.04245991672788,115.84802301840301,14.805563101675133
2029,0.38343659244036254,139.99143729648037,0.6860318474102733,0.6860318474102733,0.7761619126502229,0.8200311540759533,0.8200311540759533,0.955229734055066,0.13519857997911267,0.41001557703797664,0.41001557703797664,0.477614867027533,0.06759928998955633,248.1262265700527,647.1114949954725,636.9570321595722,248.1262265700527,244.2326339421928,101.73561796537588,101.73561796537588,116.64913698408455,14.91351901870867
2030,0.384839485213669,140.46641210298918,0.6860196752330572,0.6860196752330572,0.7761575306766538,0.8200129600290016,0.8200129600290016,0.9552231376416592,0.13521017761265763,0.4100064800145008,0.4100064800145008,0.4776115688208296,0.06760508880632882,249.82797263089026,649.1744798280815,639.0128499689024,249.82797263089026,245.91737622695192,102.43108766755036,102.43108766755036,117.45298386005669,15.021896192506333
2031,0.3849516153973864,140.54593569875112,0.6869896570951636,0.6869896570951636,0.7767363289151785,0.8214628700945203,0.8214628700945203,0.9560944524255922,0.13463158233107186,0.4107314350472602,0.4107314350472602,0.4780472262127961,0.06731579116553593,250.56744604719552,650.9063373809568,640.7545893940585,250.56744604719552,246.65951426053186,102.91592669109156,102.91592669109156,117.91489661124288,14.998969920151325
2032,0.38506374558110384,140.62545929451306,0.6879642393798663,0.6879642393798663,0.7773178722735856,0.8229197685139457,0.8229197685139457,0.9569699394581291,0.13405017094418348,0.41145988425697283,0.41145988425697283,0.47848496972906457,0.06702508547209174,251.30730785051193,652.638194933832,642.4963288192145,251.30730785051193,247.40204289723522,103.40287580110308,103.40287580110308,118.37815900659233,14.975283205489248
2033,0.3851758757648213,140.70498289027503,0.6889434548932357,0.6889434548932357,0.7779021803275976,0.824383705920586,0.824383705920586,0.9578496287763634,0.1334659228557774,0.412191852960293,0.412191852960293,0.4789248143881817,0.0667329614278887,252.0475580408395,654.3700524867071,644.2380682443705,252.0475580408395,248.14496213706215,103.89194998297063,103.89194998297063,118.84277993285487,14.950829949884238
2034,0.38528800594853874,140.78450648603697,0.6899273367540093,0.6899273367540093,0.7784892728395086,0.8258547334379529,0.8258547334379529,0.9587335507063821,0.1328788172684292,0.41292736671897645,0.41292736671897645,0.47936677535319105,0.0664394086342146,252.78819661817823,656.1019100395823,645.9798076695265,252.78819661817823,248.88827198001243,104.38316436718321,104.38316436718321,119.30876836228654,14.92560399510333
2035,0.38540013613225615,140.86403008179892,0.6909159183973265,0.6909159183973265,0.7790791697604131,0.8273329026857106,0.8273329026857106,0.9596217358667494,0.1322888331810388,0.4136664513428553,0.4136664513428553,0.4798108679333747,0.0661444165905194,253.5292235825281,657.8337675924575,647.7215470946826,253.5292235825281,249.63197242608624,104.87653423109374,104.87653423109374,119.77613335368069,14.899599122586949
2036,0.3855122663159736,140.94355367756086,0.6919092335785156,0.6919092335785156,0.7796718912324658,0.828818265785705,0.828818265785705,0.9605142151720425,0.13169594938633744,0.4144091328928525,0.4144091328928525,0.48025710758602125,0.06584797469316872,254.27063893388913,659.5656251453328,649.4632865198387,254.27063893388913,250.3760634752835,105.37207500070458,105.37207500070458,120.24488405341371,14.87280905270913
2037,0.385624396499691,141.0230772733228,0.6929073163769364,0.6929073163769364,0.7802674575911741,0.8303108753680855,0.8303108753680855,0.9614110198364346,0.13110014446834917,0.4151554376840427,0.4151554376840427,0.4807055099182173,0.06555007223417458,255.0124426722613,661.297482698208,651.2050259449946,255.0124426722613,251.12054512760417,105.86980225247949,105.86980225247949,120.71502969650567,14.845227444026179
2038,0.38573652668340846,141.10260086908477,0.6939102011998767,0.6939102011998767,0.7808658893677235,0.8318107845775141,0.8318107845775141,0.9623121813773351,0.13050139679982098,0.41590539228875706,0.41590539228875706,0.48115609068866755,0.06525069839991049,255.75463479764463,663.0293402510831,652.9467653701507,255.75463479764463,251.8654173830484,106.36973171518218,106.36973171518218,121.18657960769714,14.816847892514957
2039,0.3858486568671259,141.1821244648467,0.6949179227865065,0.6949179227865065,0.7814672072913372,0.8333180470794661,0.8333180470794661,0.9632177316190783,0.1298996845396122,0.41665902353973305,0.41665902353973305,0.48160886580953916,0.0649498422698061,256.4972153100391,664.7611978039583,654.6885047953067,256.4972153100391,252.610680241616,106.87187927174156,106.87187927174156,121.65954320254085,14.787663930799283
2040,0.3859607870508433,141.26164806060865,0.6959305162118904,0.6959305162118904,0.7820714322916698,0.8348327170666265,0.8348327170666265,0.9641277026966699,0.12929498563004338,0.41741635853331327,0.41741635853331327,0.48206385134833496,0.06464749281502169,257.24018420944475,666.4930553568336,656.4302442204628,257.24018420944475,253.3563337033071,107.37626096114514,107.37626096114514,122.13392998851018,14.75766902736504
2041,0.386924413669842,141.5747756978381,0.6959305368703266,0.6959305368703266,0.7820714503483243,0.8348327479694168,0.8348327479694168,0.9641277298908807,0.12929498192146394,0.4174163739847084,0.4174163739847084,0.48206386494544035,0.06464749096073197,259.85253270409004,671.5847424551998,661.446568512291,259.85253270409004,255.92982569554718,108.46670197208411,108.46670197208411,123.37452092960834,14.907818957524228
2042,0.3878880402888407,141.88790333506753,0.6959305576156575,0.6959305576156575,0.7820714684809299,0.834832779002192,0.834832779002192,0.9641277571994777,0.12929497819728575,0.417416389501096,0.417416389501096,0.48206387859973887,0.06464748909864287,262.4746941691825,676.676429553566,666.4628928041194,262.4746941691825,258.5129854150216,109.56123917550453,109.56123917550453,124.61977241756304,15.058533242058516
2043,0.38885166690783945,142.201030972297,0.6959305784484325,0.6959305784484325,0.7820714866899665,0.8348328101657745,0.8348328101657745,0.9641277846231836,0.12929497445740912,0.41741640508288724,0.41741640508288724,0.4820638923115918,0.06464748722870456,265.1066686047222,681.7681166519322,671.4792170959477,265.1066686047222,261.10581286173027,110.65987257248347,110.65987257248347,125.86968445330778,15.209811880824319
2044,0.38981529352683814,142.51415860952642,0.695930599369206,0.695930599369206,0.7820715049759189,0.8348328414609928,0.8348328414609928,0.9641278121627284,0.12929497070173557,0.4174164207304964,0.4174164207304964,0.4820639060813642,0.06464748535086778,267.748456010709,686.8598037502984,676.495541387776,267.748456010709,263.7083080356732,111.76260216410691,111.76260216410691,127.12425703778423,15.361654873677324
