month,month_name,lcz,coef_t2m,coef_lst,slope_median,coef_lst_as_t2m,abs_gap,ratio_abs,sign_check
1,Jan,2,0.0,-0.0284653282660643,1.360530138015747,-0.020922232790505695,0.020922232790505695,,same_cooling_sign
2,Feb,2,0.0,-0.0559321893306413,1.3781287670135498,-0.040585604676004396,0.040585604676004396,,same_cooling_sign
3,Mar,2,0.0,-0.083938195805448,1.4012471437454224,-0.059902491990875974,0.059902491990875974,,same_cooling_sign
4,Apr,2,0.0,-0.105732469117136,1.4523494243621826,-0.07280098531630551,0.07280098531630551,,same_cooling_sign
5,May,2,0.0,-0.114658885346694,1.5078648328781128,-0.07604055937019281,0.07604055937019281,,same_cooling_sign
6,Jun,2,0.0,-0.113886980984028,1.5736768245697021,-0.0723699931306853,0.0723699931306853,,same_cooling_sign
7,Jul,2,0.0,-0.111924453285873,1.6020797491073608,-0.06986197369277936,0.06986197369277936,,same_cooling_sign
8,Aug,2,0.0,-0.0911989194334745,1.5959051847457886,-0.05714557500356862,0.05714557500356862,,same_cooling_sign
9,Sep,2,0.0,-0.0649931066474344,1.5577417612075806,-0.04172264509173263,0.04172264509173263,,same_cooling_sign
10,Oct,2,0.0,-0.0443025841396136,1.4930615425109863,-0.029672309464958045,0.029672309464958045,,same_cooling_sign
11,Nov,2,0.0,-0.0343464822990512,1.4361923933029175,-0.023914959067609362,0.023914959067609362,,same_cooling_sign
12,Dec,2,0.0,0.0,1.3846896886825562,0.0,0.0,,both_zero
1,Jan,3,-0.0293043101216129,0.0,1.2999258041381836,0.0,0.0293043101216129,0.0,same_cooling_sign
2,Feb,3,-0.0319397680025718,-0.0350346439429114,1.317882776260376,-0.026584036588083882,0.005355731414487915,0.8323177734397861,same_cooling_sign
3,Mar,3,-0.028443047442091,-0.0737179102545694,1.3403563499450684,-0.05499873989300724,0.026555692450916244,1.933644417145619,same_cooling_sign
4,Apr,3,-0.0262830084207176,-0.0981552254750919,1.390854001045227,-0.07057191150280923,0.04428890308209163,2.6850773843370557,same_cooling_sign
5,May,3,-0.0216455097824872,-0.0845551639741538,1.4469633102416992,-0.05843628748266588,0.03679077770017868,2.6996955982965627,same_cooling_sign
6,Jun,3,-0.012819631011071,-0.0575004089344578,1.5131120681762695,-0.038001421139785205,0.025181790128714205,2.9643147378397456,same_cooling_sign
7,Jul,3,-0.011316024126856,0.0,1.5421065092086792,0.0,0.011316024126856,0.0,same_cooling_sign
8,Aug,3,-0.0130511308357066,0.0,1.5358879566192627,0.0,0.0130511308357066,0.0,same_cooling_sign
