scenario,scenario_name,scenario_abb,name,country_code,age,year,pop
1,Rapid Development (SSP1),SSP1,Greece,300,0--4,2030,356.6
1,Rapid Development (SSP1),SSP1,Greece,300,5--9,2030,387.5
1,Rapid Development (SSP1),SSP1,Greece,300,10--14,2030,462.8
1,Rapid Development (SSP1),SSP1,Greece,300,15--19,2030,521.2
1,Rapid Development (SSP1),SSP1,Greece,300,20--24,2030,561.1
1,Rapid Development (SSP1),SSP1,Greece,300,25--29,2030,567.6
1,Rapid Development (SSP1),SSP1,Greece,300,30--34,2030,564.7
1,Rapid Development (SSP1),SSP1,Greece,300,35--39,2030,542.8
1,Rapid Development (SSP1),SSP1,Greece,300,40--44,2030,588.7
1,Rapid Development (SSP1),SSP1,Greece,300,45--49,2030,726.8
1,Rapid Development (SSP1),SSP1,Greece,300,50--54,2030,773.3
1,Rapid Development (SSP1),SSP1,Greece,300,55--59,2030,770.3
1,Rapid Development (SSP1),SSP1,Greece,300,60--64,2030,757.6
1,Rapid Development (SSP1),SSP1,Greece,300,65--69,2030,666.6
1,Rapid Development (SSP1),SSP1,Greece,300,70--74,2030,610.9
1,Rapid Development (SSP1),SSP1,Greece,300,75--79,2030,507.2
1,Rapid Development (SSP1),SSP1,Greece,300,80--84,2030,421.6
1,Rapid Development (SSP1),SSP1,Greece,300,85--89,2030,253.7
1,Rapid Development (SSP1),SSP1,Greece,300,90--94,2030,147
1,Rapid Development (SSP1),SSP1,Greece,300,95--99,2030,43.3
1,Rapid Development (SSP1),SSP1,Greece,300,100+,2030,6.3
1,Rapid Development (SSP1),SSP1,Greece,300,0--4,2040,354.1
1,Rapid Development (SSP1),SSP1,Greece,300,5--9,2040,361.3
1,Rapid Development (SSP1),SSP1,Greece,300,10--14,2040,372.6
1,Rapid Development (SSP1),SSP1,Greece,300,15--19,2040,401.8
1,Rapid Development (SSP1),SSP1,Greece,300,20--24,2040,479.8
1,Rapid Development (SSP1),SSP1,Greece,300,25--29,2040,545
1,Rapid Development (SSP1),SSP1,Greece,300,30--34,2040,578.7
1,Rapid Development (SSP1),SSP1,Greece,300,35--39,2040,574.4
1,Rapid Development (SSP1),SSP1,Greece,300,40--44,2040,568.2
1,Rapid Development (SSP1),SSP1,Greece,300,45--49,2040,547.4
1,Rapid Development (SSP1),SSP1,Greece,300,50--54,2040,589.1
1,Rapid Development (SSP1),SSP1,Greece,300,55--59,2040,715.6
1,Rapid Development (SSP1),SSP1,Greece,300,60--64,2040,751.3
1,Rapid Development (SSP1),SSP1,Greece,300,65--69,2040,735.9
1,Rapid Development (SSP1),SSP1,Greece,300,70--74,2040,705.4
1,Rapid Development (SSP1),SSP1,Greece,300,75--79,2040,597.4
1,Rapid Development (SSP1),SSP1,Greece,300,80--84,2040,503.6
1,Rapid Development (SSP1),SSP1,Greece,300,85--89,2040,351.6
1,Rapid Development (SSP1),SSP1,Greece,300,90--94,2040,210.1
1,Rapid Development (SSP1),SSP1,Greece,300,95--99,2040,70.8
1,Rapid Development (SSP1),SSP1,Greece,300,100+,2040,18.1
1,Rapid Development (SSP1),SSP1,Greece,300,0--4,2050,354.7
1,Rapid Development (SSP1),SSP1,Greece,300,5--9,2050,364
1,Rapid Development (SSP1),SSP1,Greece,300,10--14,2050,369.4
1,Rapid Development (SSP1),SSP1,Greece,300,15--19,2050,373.8
1,Rapid Development (SSP1),SSP1,Greece,300,20--24,2050,387.3
1,Rapid Development (SSP1),SSP1,Greece,300,25--29,2050,429
1,Rapid Development (SSP1),SSP1,Greece,300,30--34,2050,508.1
1,Rapid Development (SSP1),SSP1,Greece,300,35--39,2050,559.5
1,Rapid Development (SSP1),SSP1,Greece,300,40--44,2050,585.4
1,Rapid Development (SSP1),SSP1,Greece,300,45--49,2050,578.9
1,Rapid Development (SSP1),SSP1,Greece,300,50--54,2050,571.1
1,Rapid Development (SSP1),SSP1,Greece,300,55--59,2050,549.5
1,Rapid Development (SSP1),SSP1,Greece,300,60--64,2050,585.4
1,Rapid Development (SSP1),SSP1,Greece,300,65--69,2050,697.1
1,Rapid Development (SSP1),SSP1,Greece,300,70--74,2050,718
1,Rapid Development (SSP1),SSP1,Greece,300,75--79,2050,686.5
1,Rapid Development (SSP1),SSP1,Greece,300,80--84,2050,624.2
1,Rapid Development (SSP1),SSP1,Greece,300,85--89,2050,469.2
1,Rapid Development (SSP1),SSP1,Greece,300,90--94,2050,307.3
1,Rapid Development (SSP1),SSP1,Greece,300,95--99,2050,132.2
1,Rapid Development (SSP1),SSP1,Greece,300,100+,2050,38.6
2,Medium (SSP2),SSP2,Greece,300,0--4,2030,375.9
2,Medium (SSP2),SSP2,Greece,300,5--9,2030,398.2
2,Medium (SSP2),SSP2,Greece,300,10--14,2030,462.8
2,Medium (SSP2),SSP2,Greece,300,15--19,2030,522
2,Medium (SSP2),SSP2,Greece,300,20--24,2030,560.8
2,Medium (SSP2),SSP2,Greece,300,25--29,2030,564.4
2,Medium (SSP2),SSP2,Greece,300,30--34,2030,562.7
2,Medium (SSP2),SSP2,Greece,300,35--39,2030,542.8
2,Medium (SSP2),SSP2,Greece,300,40--44,2030,589.2
2,Medium (SSP2),SSP2,Greece,300,45--49,2030,726.8
2,Medium (SSP2),SSP2,Greece,300,50--54,2030,772.8
2,Medium (SSP2),SSP2,Greece,300,55--59,2030,769
2,Medium (SSP2),SSP2,Greece,300,60--64,2030,755.2
2,Medium (SSP2),SSP2,Greece,300,65--69,2030,663
2,Medium (SSP2),SSP2,Greece,300,70--74,2030,605.1
2,Medium (SSP2),SSP2,Greece,300,75--79,2030,498.8
2,Medium (SSP2),SSP2,Greece,300,80--84,2030,410
2,Medium (SSP2),SSP2,Greece,300,85--89,2030,243.1
2,Medium (SSP2),SSP2,Greece,300,90--94,2030,138.2
