year,scenario,baseline_deaths_total,baseline_deaths_on_warning_days,baseline_warning_days,ramp_factor,ac_coverage,ac_penalty,gross_avoided_deaths,net_avoided_deaths,life_years_saved,policy_deaths_total,gross_avoided_<15,gross_avoided_15-64,gross_avoided_65+,net_avoided_<15,net_avoided_15-64,net_avoided_65+,lys_<15,lys_15-64,lys_65+
2020,central,1118.3048901021773,693.0824423246444,37,0.05,0.7020550966262817,0.7893834710121155,5.471078240197823,4.228123243175212,56.99377896918223,1114.0767668590022,0.0,0.8320970868456274,4.638981153352195,0.0,0.7488873781610648,3.4792358650141466,0.0,18.722184454026618,38.27159451515561
2030,central,1254.7784432754083,886.347307840135,45,1.0,0.7020550966262817,0.7893834710121155,139.93358287701798,107.44501566506263,1391.4607669288175,1147.3334276103458,0.0,16.632190048660995,123.30139282835698,0.0,14.968971043794896,92.47604462126773,0.0,374.22427609487244,1017.236490833945
2040,central,1317.2488771254937,959.2296803823967,48,1.0,0.7119442820549011,0.7864167153835296,150.87085090894348,115.07975209819169,1427.7128420647714,1202.169125027302,0.0,12.844092776560554,138.02675813238292,0.0,11.5596834989045,103.52006859928719,0.0,288.99208747261247,1138.720754592159
2050,central,1517.9016225211778,1151.6865569571485,52,1.0,0.7119442820549011,0.7864167153835296,181.14111185472146,137.28306489153667,1630.0011178485336,1380.6185576296411,0.0,9.514873336637315,171.62623851808414,0.0,8.563386002973584,128.7196788885631,0.0,214.08465007433958,1415.916467774194
2020,high,1118.3048901021773,693.0824423246444,37,0.05,0.7020550966262817,0.6489724516868591,7.871349706789461,4.962240768871347,67.99278136625435,1113.3426493333059,0.0,1.1971547239883507,6.674194982801111,0.0,0.9577237791906805,4.004516989680666,0.0,23.943094479767012,44.04968688648733
2030,high,1254.7784432754083,886.347307840135,45,1.0,0.7020550966262817,0.6489724516868591,201.32524489527088,125.58095984332417,1649.3960810216179,1129.1974834320843,0.0,23.929064530808215,177.39618036446268,0.0,19.143251624646574,106.4377082186776,0.0,478.5812906161643,1170.8147904054536
2040,high,1317.2488771254937,959.2296803823967,48,1.0,0.7119442820549011,0.6440278589725494,216.21972306185924,133.41332189978294,1673.7098724069874,1183.8355552257108,0.0,18.407440313337048,197.8122827485222,0.0,14.72595225066964,118.68736964911331,0.0,368.14880626674096,1305.5610661402463
2050,high,1517.9016225211778,1151.6865569571485,52,1.0,0.7119442820549011,0.6440278589725494,259.6013796196028,158.48806535996624,1896.0940238990843,1359.4135571612117,0.0,13.636187941022833,245.96519167857997,0.0,10.908950352818266,147.57911500714798,0.0,272.7237588204566,1623.3702650786277
2020,low,1118.3048901021773,693.0824423246444,37,0.05,0.7020550966262817,0.8946917355060577,3.1004756658610666,2.8140056890674385,37.22570146454101,1115.4908844131098,0.0,0.47155179584956314,2.6289238700115036,0.0,0.44797420605708493,2.3660314830103535,0.0,11.199355151427124,26.026346313113887
2030,low,1254.7784432754083,886.347307840135,45,1.0,0.7020550966262817,0.8946917355060577,79.30076111126124,71.84196048050538,915.6208430640481,1182.936482794903,0.0,9.425509607405182,69.87525150385606,0.0,8.954234127034923,62.887726353470455,0.0,223.85585317587305,691.764989888175
2040,low,1317.2488771254937,959.2296803823967,48,1.0,0.7119442820549011,0.8932083576917649,85.67919674635571,77.47598355590891,949.2477439092108,1239.7728935695848,0.0,7.294129683775404,78.3850670625803,0.0,6.929423199586633,70.54656035632227,0.0,173.23557998966584,776.0121639195451
2050,low,1517.9016225211778,1151.6865569571485,52,1.0,0.7119442820549011,0.8932083576917649,102.86960581153781,92.8528189252081,1093.2472110004908,1425.0488035959697,0.0,5.403473896481329,97.46613191505648,0.0,5.133300201657263,87.71951872355083,0.0,128.33250504143157,964.9147059590591
