year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2020,low,0.05,0.8946917355060577,693.0824423246444,3.1004756658610666,2.8140056890674385,37.22570146454101,37.0,231602.512544,231602.512544,0.0,0.47155179584956314,2.6289238700115036,0.0,0.44797420605708493,2.3660314830103535,0.0,11.199355151427124,26.026346313113887
2021,low,0.05,0.8946917355060577,712.4089288761934,3.1869319048312668,2.8918149225632215,38.08123553340715,37.8,82960.80340842,80544.46932856311,0.0,0.4715241643016327,2.715407740529634,0.0,0.447947956086551,2.4438669664766706,0.0,11.198698902163775,26.882536631243376
2022,low,0.05,0.8946917355060577,731.7354154277425,3.2733881438014656,2.9696241560590044,38.93676960227329,38.6,84301.90537188001,79462.63113571497,0.0,0.47149653275370235,2.8018916110477634,0.0,0.4479217061160172,2.521702449942987,0.0,11.19804265290043,27.73872694937286
2023,low,0.05,0.8946917355060577,751.0619019792916,3.3598443827716657,3.0474333895547874,39.79230367113943,39.4,85625.81843438,78359.75356551087,0.0,0.47146890120577195,2.8883754815658937,0.0,0.4478954561454833,2.5995379334093043,0.0,11.197386403637083,28.594917267502346
2024,low,0.05,0.8946917355060577,770.3883885308406,3.446300621741865,3.1252426230505708,40.64783774000557,40.2,86932.54259592001,77238.43813885383,0.0,0.4714412696578416,2.9748593520840236,0.0,0.4478692061749495,2.6773734168756214,0.0,11.196730154373737,29.451107585631835
2025,low,1.0,0.8946917355060577,789.7148750823897,70.6551372142413,64.06103713092708,830.067436177434,41.0,1764441.55713,1522022.7867128106,0.0,9.428272762198223,61.22686445204307,0.0,8.95685912408831,55.10417800683876,0.0,223.92147810220777,606.1459580752263
2026,low,1.0,0.8946917355060577,809.0413616339388,72.38426199364528,65.61722180084273,847.1781175547569,41.8,1789888.4843224,1499003.4268393777,0.0,9.427720131239614,62.956541862405665,0.0,8.956334124677632,56.660887676165096,0.0,223.9083531169408,623.2697644378161
2027,low,1.0,0.8946917355060577,828.3678481854879,74.11338677304927,67.1734064707584,864.2887989320798,42.6,1814991.6334956002,1475754.2903544798,0.0,9.427167500281007,64.68621927276827,0.0,8.955809125266956,58.21759734549144,0.0,223.89522813167392,640.3935708004059
2028,low,1.0,0.8946917355060577,847.6943347370369,75.84251155245325,68.72959114067405,881.3994803094024,43.4,1839751.0046495998,1452316.4319087341,0.0,9.426614869322398,66.41589668313085,0.0,8.955284125856277,59.77430701481777,0.0,223.88210314640693,657.5173771629954
2029,low,1.0,0.8946917355060577,867.0208212885859,77.57163633185726,70.28577581058971,898.5101616867254,44.2,1864166.5977844002,1428728.4724180559,0.0,9.42606223836379,68.14557409349347,0.0,8.954759126445602,61.33101668414412,0.0,223.86897816114003,674.6411835255853
2030,low,1.0,0.8946917355060577,886.347307840135,79.30076111126124,71.84196048050538,915.6208430640481,45.0,1888238.4129,1405026.7129131397,0.0,9.425509607405182,69.87525150385606,0.0,8.954234127034923,62.887726353470455,0.0,223.85585317587305,691.764989888175
2031,low,1.0,0.8945433977246284,893.6355450943612,79.93957768362104,72.40622268438958,918.9887861170366,45.3,1895483.5682328,1369337.6591347163,0.0,9.212055382612878,70.72752230100816,0.0,8.751452613482233,63.65477007090735,0.0,218.7863153370558,700.2024707799808
2032,low,1.0,0.8943950599431991,900.9237823485873,80.57817803179185,72.97029380019737,922.355561843698,45.6,1902657.9540192003,1334486.0078381936,0.0,8.998671431693758,71.5795066000981,0.0,8.54873786010907,64.4215559400883,0.0,213.71844650272672,708.6371153409713
2033,low,1.0,0.8942467221617698,908.2120196028136,81.21656215577372,73.53417382792874,925.7211702440321,45.9,1909761.5702592002,1300454.7003354772,0.0,8.785357754647823,72.4312044011259,0.0,8.346089866915431,65.1880839610133,0.0,208.65224667288578,717.0689235711463
2034,low,1.0,0.8940983843803406,915.5002568570397,81.85473005556662,74.09786276758372,929.0856113180392,46.2,1916794.4169528002,1267226.919141214,0.0,8.572114351475069,73.28261570409155,0.0,8.143508633901314,65.9543541336824,0.0,203.58771584753285,725.4978954705064
2035,low,1.0,0.8939500465989113,922.7884941112659,82.49268173117055,74.66136061916227,932.448885065719,46.5,1923756.4941,1234786.0896201078,0.0,8.358941222175497,74.13374050899505,0.0,7.940994161066722,66.72036645809554,0.0,198.52485402666804,733.924031039051
2036,low,1.0,0.893801708817482,930.076731365492,83.1304171825855,75.2246673826644,935.8109914870718,46.8,1930647.8017008002,1203115.8812979292,0.0,8.145838366749112,74.98457881583639,0.0,7.738546448411657,67.48612093425275,0.0,193.4636612102914,742.3473302767803
2037,low,1.0,0.8936533710360527,937.3649686197182,83.7679364098115,75.78778305809014,939.1719305820972,47.1,1937468.3397552,1172200.20885546,0.0,7.932805785195911,75.83513062461559,0.0,7.536165495936115,68.25161756215402,0.0,188.40413739840287,750.7677931836943
2038,low,1.0,0.8935050332546234,944.6532058739444,84.40523941284853,76.35070764543947,942.5317023507955,47.4,1944218.1082632001,1142023.232823733,0.0,7.719843477515891,76.68539593533264,0.0,7.333851303640096,69.01685634179937,0.0,183.34628259100242,759.185419759793
2039,low,1.0,0.8933566954731942,951.9414431281706,85.04232619169662,76.91344114471241,945.890306793167,47.7,1950897.1072248002,1112569.3599981084,0.0,7.506951443709055,77.53537474798756,0.0,7.131603871523602,69.78183727318881,0.0,178.29009678809004,767.600210005077
