year,warning_days,deaths_on_warning_days,ramp_factor,cost_capex,cost_opex,cost_total,cost_pv,discount_factor
2020,37.0,693.0824423246444,0.05,150000.0,81602.512544,231602.512544,231602.512544,1.0
2021,37.8,712.4089288761934,0.05,0.0,82960.80340842,82960.80340842,80544.46932856311,1.03
2022,38.6,731.7354154277425,0.05,0.0,84301.90537188001,84301.90537188001,79462.63113571497,1.0609
2023,39.4,751.0619019792916,0.05,0.0,85625.81843438,85625.81843438,78359.75356551087,1.092727
2024,40.2,770.3883885308406,0.05,0.0,86932.54259592001,86932.54259592001,77238.43813885383,1.1255088100000001
2025,41.0,789.7148750823897,1.0,0.0,1764441.55713,1764441.55713,1522022.7867128106,1.1592740743
2026,41.8,809.0413616339388,1.0,0.0,1789888.4843224,1789888.4843224,1499003.4268393777,1.1940522965290001
2027,42.6,828.3678481854879,1.0,0.0,1814991.6334956002,1814991.6334956002,1475754.2903544798,1.2298738654248702
2028,43.4,847.6943347370369,1.0,0.0,1839751.0046495998,1839751.0046495998,1452316.4319087341,1.2667700813876164
2029,44.2,867.0208212885859,1.0,0.0,1864166.5977844002,1864166.5977844002,1428728.4724180559,1.304773183829245
2030,45.0,886.347307840135,1.0,0.0,1888238.4129,1888238.4129,1405026.7129131397,1.3439163793441222
2031,45.3,893.6355450943612,1.0,0.0,1895483.5682328,1895483.5682328,1369337.6591347163,1.384233870724446
2032,45.6,900.9237823485873,1.0,0.0,1902657.9540192003,1902657.9540192003,1334486.0078381936,1.4257608868461793
2033,45.9,908.2120196028136,1.0,0.0,1909761.5702592002,1909761.5702592002,1300454.7003354772,1.4685337134515648
2034,46.2,915.5002568570397,1.0,0.0,1916794.4169528002,1916794.4169528002,1267226.919141214,1.512589724855112
2035,46.5,922.7884941112659,1.0,0.0,1923756.4941,1923756.4941,1234786.0896201078,1.557967416600765
2036,46.8,930.076731365492,1.0,0.0,1930647.8017008002,1930647.8017008002,1203115.8812979292,1.6047064390987882
2037,47.1,937.3649686197182,1.0,0.0,1937468.3397552,1937468.3397552,1172200.20885546,1.6528476322717518
2038,47.4,944.6532058739444,1.0,0.0,1944218.1082632001,1944218.1082632001,1142023.232823733,1.7024330612399046
2039,47.7,951.9414431281706,1.0,0.0,1950897.1072248002,1950897.1072248002,1112569.3599981084,1.7535060530771016
2040,48.0,959.2296803823967,1.0,0.0,1957505.3366399999,1957505.3366399999,1083823.2435879265,1.8061112346694148
2041,48.4,978.4753680398719,1.0,0.0,1969281.5198672002,1969281.5198672002,1058585.8550657118,1.8602945717094972
2042,48.8,997.7210556973471,1.0,0.0,1980982.7219168001,1980982.7219168001,1033860.0269463493,1.9161034088607822
2043,49.2,1016.9667433548223,1.0,0.0,1992608.9427888002,1992608.9427888002,1009638.5091583016,1.9735865111266058
2044,49.6,1036.2124310122974,1.0,0.0,2004160.1824832,2004160.1824832,985914.0067918325,2.032794106460404
