year,trees_only_raw,trees_only_dynamic,trees_on_top_raw,trees_on_top_dynamic,maturity_factor,ac_gross
2020,7.810743235137579,0.0,7.198577028492991,0.0,0.0,19.62607367545661
2021,7.805649727788136,0.15611299455576272,7.193509688216158,0.14387019376432317,0.02,19.823204786338827
2022,7.800556220438693,0.33802410288567675,7.1884423479393265,0.31149916841070413,0.043333333333333335,20.02033589722105
2023,7.79546271308925,0.5456823899162476,7.183375007662494,0.5028362505363746,0.07,20.217467008103267
2024,7.7903692057398075,0.7790369205739808,7.178307667385662,0.7178307667385662,0.1,20.414598118985488
2025,7.785275698390365,1.038036759785382,7.173240327108829,0.9564320436145105,0.13333333333333333,20.611729229867706
2026,7.780182191040922,1.3226309724769565,7.168172986831996,1.2185894077614392,0.16999999999999998,20.808860340749924
2027,7.775088683691479,1.6327686235752106,7.163105646555164,1.5042521857765843,0.21,21.005991451632145
2028,7.769995176342036,1.942498794085509,7.158038306278331,1.7895095765695828,0.25,21.203122562514363
2029,7.764901668992593,2.2518214840078516,7.152970966001499,2.0743615801404345,0.29,21.400253673396584
2030,7.75980816164315,2.560736693342239,7.147903625724666,2.3588081964891394,0.32999999999999996,21.597384784278802
2031,7.779406362597046,2.8783803541609068,7.1674487911773666,2.6519560527356254,0.36999999999999994,21.633360825010662
2032,7.799004563550943,3.197591871055886,7.186993956630067,2.946667522218327,0.4099999999999999,21.669336865742526
2033,7.81860276450484,3.5183712440271773,7.206539122082768,3.242942604937245,0.4499999999999999,21.705312906474386
2034,7.838200965458737,3.84071847307478,7.2260842875354685,3.5407813008923785,0.4899999999999999,21.74128894720625
2035,7.857799166412633,4.164633558198695,7.245629452988169,3.840183610083729,0.5299999999999999,21.77726498793811
2036,7.877397367366529,4.490116499398922,7.265174618440869,4.141149532511295,0.57,21.81324102866997
2037,7.896995568320426,4.81716729667546,7.2847197838935696,4.4436790681750775,0.61,21.849217069401835
2038,7.916593769274323,5.14578595002831,7.304264949346271,4.7477722170750765,0.65,21.885193110133695
2039,7.9361919702282195,5.475972459457472,7.323810114798971,5.05342897921129,0.6900000000000001,21.92116915086556
2040,7.955790171182116,5.807726824962946,7.3433552802516715,5.360649354583721,0.7300000000000001,21.95714519159742
2041,8.008053192475813,6.166200958206377,7.39113576126349,5.6911745361728885,0.7700000000000001,22.295653926673843
2042,8.06031621376951,6.5288561331533055,7.438916242275309,6.025522156243001,0.8100000000000002,22.63416266175027
2043,8.112579235063208,6.895692349803729,7.486696723287127,6.363692214794059,0.8500000000000002,22.972671396826694
2044,8.164842256356906,7.266709608157648,7.5344772042989465,6.7056847118260645,0.8900000000000002,23.31118013190312
