zone_id,pop_zone,users_zone,ac_share_cap,kwh_cap,kwh_per_user_cap,year,kwh_pc_overall,kwh_GWh
1,64301.87564846169,14853.457713227617,0.23099571456408924,6507569.40306098,438.11813,2020,101.20341494605628,6.50756940306098
2,83735.43929677404,21452.479310916435,0.2561935482882563,7004729.627168126,326.52307,2020,83.65310656987248,7.0047296271681265
3,54438.13787074876,8479.360879773776,0.15576140572453326,4011464.694993928,473.08572,2020,73.68849949493602,4.011464694993928
4,41507.79762716792,7957.352071622474,0.1917074026210001,3901688.6399253625,490.32498,2020,93.99893183857114,3.9016886399253625
5,54907.07538773166,18622.05924528488,0.33915591230790193,4655242.115575939,249.98535,2020,84.78401158143087,4.655242115575939
6,75173.806240201,13077.543366745114,0.1739640976134528,3979405.8377170563,304.29306,2020,52.93606957989808,3.9794058377170565
7,79400.08422555904,25428.36952258076,0.32025620338568,10767678.099001717,423.4514,2020,135.6129304398846,10.767678099001717
8,66760.76861118712,13959.958785019466,0.20910422506250465,5398785.13280797,386.7336,2020,80.8676299736803,5.39878513280797
9,41420.61285733152,12501.138968526386,0.3018096089400006,5147853.890724182,411.7908,2020,124.28241727024574,5.147853890724182
10,75377.72734529153,21327.482018816285,0.28294143071094474,7274528.075607777,341.08707,2020,96.50765991238366,7.274528075607777
1,67104.46583646303,16023.704779344262,0.23878745743084878,7020823.184363782,438.1523,2030,104.62527488817038,7.020823184363782
2,87363.01930857266,23157.319982755605,0.2650700509899072,7562412.687666375,326.56683,2030,86.5630875342732,7.5624126876663755
3,56816.81039860245,9108.550948585733,0.16031436620049655,4309946.397938069,473.17587,2030,75.85688756023661,4.309946397938069
4,43316.75929012759,8568.393032558997,0.1978078040226762,4201711.104066338,490.3733,2030,96.99966416979764,4.201711104066338
5,57320.174740674905,20153.9950021588,0.35160386536395793,5039595.336490899,250.05441,2030,87.92009723087529,5.039595336490899
6,78444.59498918056,14065.168126359582,0.17930066600891387,4280719.724752426,304.349,2030,54.56997675037831,4.2807197247524265
7,82859.09454178851,27500.1506934543,0.3318905528177729,11645954.73004803,423.48694,2030,140.55131539211547,11.64595473004803
8,69659.14325563889,15043.139870537329,0.2159535585347526,5818183.320572913,386.76654,2030,83.52361296235053,5.8181833205729125
9,43224.93476165179,13514.269187508151,0.3126498457898822,5565414.1499964,411.81763,2030,128.75471485809882,5.5654141499964
10,78666.2404885795,23046.799379555043,0.2929693758900414,7862451.637872934,341.15155,2030,99.94696058996716,7.862451637872934
1,66849.37492710259,15962.792284397641,0.2387874576509448,6992125.238254547,438.02646,2040,104.59522240678044,6.992125238254547
2,86896.36515702376,23033.623940017595,0.2650700509554721,7520183.2172795115,326.48718,2040,86.54197679834324,7.520183217279511
3,56564.88290221454,9068.163348388625,0.1603143661424181,4290007.820691202,473.08453,2040,75.84224700168603,4.290007820691202
4,43531.182909336014,8610.80768377283,0.19780780370032383,4221406.841282343,490.24518,2040,96.97431953720212,4.2214068412823424
5,57388.88299240265,20178.15310666128,0.35160386567085716,5045109.006130755,250.02829,2040,87.91091136585887,5.045109006130755
6,77733.27257144451,13937.627535291016,0.17930066590829516,4240989.274255753,304.28345,2040,54.5582237047574,4.240989274255752
7,82810.83977726579,27484.135408902483,0.33189055301003906,11635879.535169072,423.36713,2040,140.5115509813184,11.635879535169073
8,69342.38922887482,14974.73572734103,0.2159535587664091,5790083.674783945,386.65683,2040,83.49991598462114,5.790083674783945
9,43331.23475780245,13547.503887905274,0.3126498463205192,5577402.1905937195,411.69223,2040,128.71551484208337,5.57740219059372
10,77830.47271584347,22801.945045461413,0.29296937625845565,7777519.0014977455,341.09015,2040,99.92897036477235,7.777519001497746
1,67693.09380848613,17535.39442252973,0.259042591141424,5526271.5135605335,315.14954,2050,81.63715384608038,5.526271513560533
2,87930.98460142397,25336.8792968517,0.28814506526566736,5951765.464978359,234.90523,2050,67.6867829008931,5.951765464978359
3,57278.55271997821,9860.506336045786,0.17215006084828216,3356457.553779356,340.39404,2050,58.598854097943295,3.3564575537793564
4,44133.81178237316,9429.904543549736,0.21366621560016705,3326151.7018982144,352.7238,2050,75.3651580855897,3.3261517018982145
5,58213.32772832364,22351.773695388576,0.3839631673300364,4021349.2474769354,179.91187,2050,69.07952876777996,4.021349247476936
6,78619.45539027452,15187.1881775558,0.19317340856872053,3325059.767179489,218.93848,2050,42.29309082177653,3.3250597671794893
7,83927.70110651042,30393.13994437104,0.3621347843878139,9257842.306031585,304.60303,2050,110.307350064107,9.257842306031584
8,70180.62857760675,16405.341061541345,0.23375882197179357,4563814.07147795,278.19073,2050,65.02954111377356,4.56381407147795
9,43934.305104916915,14974.11601845501,0.3408296997686935,4435329.194885731,296.19974,2050,100.95366671429042,4.435329194885731
10,78678.78834195249,25101.502474516165,0.3190377356273004,6160457.519321442,245.42186,2050,78.29883567279862,6.160457519321442
