month,month_name,lcz,coef_t2m,coef_lst,slope_median,coef_lst_as_t2m,abs_gap,ratio_abs,sign_check
1,Jan,1,0.0,0.0,1.1670104265213013,0.0,0.0,,both_zero
2,Feb,1,0.0,0.0,1.1652956008911133,0.0,0.0,,both_zero
3,Mar,1,0.0,0.0,1.2031550407409668,0.0,0.0,,both_zero
4,Apr,1,0.0,0.0,1.2456674575805664,0.0,0.0,,both_zero
5,May,1,0.0,0.0,1.3065624237060547,0.0,0.0,,both_zero
6,Jun,1,0.0,0.0,1.3437913656234741,0.0,0.0,,both_zero
7,Jul,1,0.0,0.0,1.3750338554382324,0.0,0.0,,both_zero
8,Aug,1,0.0,0.0,1.3691320419311523,0.0,0.0,,both_zero
9,Sep,1,0.0,0.0,1.3275444507598877,0.0,0.0,,both_zero
10,Oct,1,0.0,0.0,1.268343448638916,0.0,0.0,,both_zero
11,Nov,1,0.0,0.0,1.2292509078979492,0.0,0.0,,both_zero
12,Dec,1,0.0,0.0,1.1882953643798828,0.0,0.0,,both_zero
1,Jan,2,0.0,0.0,1.2563039064407349,0.0,0.0,,both_zero
2,Feb,2,0.0,0.0,1.2555445432662964,0.0,0.0,,both_zero
3,Mar,2,0.0,0.0,1.2947709560394287,0.0,0.0,,both_zero
4,Apr,2,0.0,0.0,1.3360345363616943,0.0,0.0,,both_zero
5,May,2,0.0,0.0,1.3987329006195068,0.0,0.0,,both_zero
6,Jun,2,0.0,0.0,1.4355207681655884,0.0,0.0,,both_zero
7,Jul,2,0.0,0.0,1.4645874500274658,0.0,0.0,,both_zero
8,Aug,2,0.0,0.0,1.4589792490005493,0.0,0.0,,both_zero
9,Sep,2,0.0,0.0,1.417298436164856,0.0,0.0,,both_zero
10,Oct,2,0.0,0.0,1.3577773571014404,0.0,0.0,,both_zero
11,Nov,2,0.0,0.0,1.3185908794403076,0.0,0.0,,both_zero
12,Dec,2,0.0,0.0,1.2784327268600464,0.0,0.0,,both_zero
1,Jan,3,0.0,0.0,1.1942520141601562,0.0,0.0,,both_zero
2,Feb,3,0.0,0.0,1.1925005912780762,0.0,0.0,,both_zero
3,Mar,3,0.0,0.0,1.2308467626571655,0.0,0.0,,both_zero
4,Apr,3,0.0,0.0,1.272312879562378,0.0,0.0,,both_zero
5,May,3,0.0,0.0,1.3329150676727295,0.0,0.0,,both_zero
6,Jun,3,0.0,0.0,1.3714616298675537,0.0,0.0,,both_zero
7,Jul,3,0.0,0.0,1.401684284210205,0.0,0.0,,both_zero
8,Aug,3,0.0,0.0,1.3957514762878418,0.0,0.0,,both_zero
9,Sep,3,0.0,0.0,1.3542859554290771,0.0,0.0,,both_zero
10,Oct,3,0.0,0.0,1.2947006225585938,0.0,0.0,,both_zero
11,Nov,3,0.0,0.0,1.25588858127594,0.0,0.0,,both_zero
12,Dec,3,0.0,0.0,1.2157200574874878,0.0,0.0,,both_zero
1,Jan,4,0.0,0.0,1.1283986568450928,0.0,0.0,,both_zero
2,Feb,4,0.0,0.0,1.127197504043579,0.0,0.0,,both_zero
3,Mar,4,0.0,0.0,1.1653971672058105,0.0,0.0,,both_zero
4,Apr,4,0.0,0.0,1.2076303958892822,0.0,0.0,,both_zero
5,May,4,0.0,0.0,1.2698566913604736,0.0,0.0,,both_zero
6,Jun,4,0.0,0.0,1.3064746856689453,0.0,0.0,,both_zero
7,Jul,4,0.0,0.0,1.3367712497711182,0.0,0.0,,both_zero
8,Aug,4,0.0,0.0,1.330366849899292,0.0,0.0,,both_zero
9,Sep,4,0.0,0.0,1.2890682220458984,0.0,0.0,,both_zero
10,Oct,4,0.0,0.0,1.2296037673950195,0.0,0.0,,both_zero
11,Nov,4,0.0,0.0,1.19040846824646,0.0,0.0,,both_zero
12,Dec,4,0.0,0.0,1.1491725444793701,0.0,0.0,,both_zero
1,Jan,5,0.0,0.0,1.2500426769256592,0.0,0.0,,both_zero
2,Feb,5,0.0,0.0,1.2494258880615234,0.0,0.0,,both_zero
3,Mar,5,0.0,0.0,1.288427472114563,0.0,0.0,,both_zero
4,Apr,5,0.0,0.0,1.328529715538025,0.0,0.0,,both_zero
5,May,5,0.0,0.0,1.3905963897705078,0.0,0.0,,both_zero
6,Jun,5,0.0,0.0,1.428312063217163,0.0,0.0,,both_zero
7,Jul,5,0.0,0.0,1.4558563232421875,0.0,0.0,,both_zero
8,Aug,5,0.0,0.0,1.4513911008834839,0.0,0.0,,both_zero
9,Sep,5,0.0,0.0,1.4099911451339722,0.0,0.0,,both_zero
10,Oct,5,0.0,0.0,1.3511059284210205,0.0,0.0,,both_zero
11,Nov,5,0.0,0.0,1.3120269775390625,0.0,0.0,,both_zero
12,Dec,5,0.0,0.0,1.2729613780975342,0.0,0.0,,both_zero
1,Jan,6,0.0,0.0,1.2554010152816772,0.0,0.0,,both_zero
2,Feb,6,0.0,0.0,1.2552233934402466,0.0,0.0,,both_zero
3,Mar,6,0.0,-0.0165800027351422,1.2923922538757324,-0.012828924566377369,0.012828924566377369,,same_cooling_sign
4,Apr,6,0.0,-0.0325884929119529,1.3336880207061768,-0.024434869629178766,0.024434869629178766,,same_cooling_sign
5,May,6,0.0,-0.0386693736155994,1.3943718671798706,-0.027732468307617643,0.027732468307617643,,same_cooling_sign
6,Jun,6,0.0,-0.0428826214912215,1.4321331977844238,-0.029943179557294596,0.029943179557294596,,same_cooling_sign
7,Jul,6,0.0,-0.0407685762367085,1.4613019227981567,-0.027898804210592754,0.027898804210592754,,same_cooling_sign
8,Aug,6,0.0,-0.0357004959188878,1.4561623334884644,-0.02451683792243251,0.02451683792243251,,same_cooling_sign
9,Sep,6,0.0,-0.0228082693897055,1.4147332906723022,-0.016121957078472842,0.016121957078472842,,same_cooling_sign
10,Oct,6,0.0,-0.0094386657182483,1.3576067686080933,-0.006952429773111277,0.006952429773111277,,same_cooling_sign
11,Nov,6,0.0,0.0,1.3184893131256104,0.0,0.0,,both_zero
12,Dec,6,0.0,0.0,1.277848720550537,0.0,0.0,,both_zero
1,Jan,8,0.0,0.0,1.2850489616394043,0.0,0.0,,both_zero
2,Feb,8,0.0,0.0,1.2836830615997314,0.0,0.0,,both_zero
3,Mar,8,0.0,0.0,1.32171630859375,0.0,0.0,,both_zero
4,Apr,8,0.0,0.0,1.363947868347168,0.0,0.0,,both_zero
5,May,8,0.0,0.0,1.4253783226013184,0.0,0.0,,both_zero
6,Jun,8,0.0,-0.111248676829579,1.4627349376678467,-0.07605525373377046,0.07605525373377046,,same_cooling_sign
7,Jul,8,0.0,0.0,1.492884874343872,0.0,0.0,,both_zero
8,Aug,8,0.0,-0.086731893653122,1.4867024421691895,-0.058338434910065046,0.058338434910065046,,same_cooling_sign
9,Sep,8,0.0,0.0,1.4450311660766602,0.0,0.0,,both_zero
10,Oct,8,0.0,0.0,1.3860700130462646,0.0,0.0,,both_zero
