scenario,scenario_name,scenario_abb,name,country_code,age,year,pop
1,Rapid Development (SSP1),SSP1,Denmark,208,0--4,2030,306.5
1,Rapid Development (SSP1),SSP1,Denmark,208,5--9,2030,302
1,Rapid Development (SSP1),SSP1,Denmark,208,10--14,2030,311.1
1,Rapid Development (SSP1),SSP1,Denmark,208,15--19,2030,311.5
1,Rapid Development (SSP1),SSP1,Denmark,208,20--24,2030,349.2
1,Rapid Development (SSP1),SSP1,Denmark,208,25--29,2030,359.3
1,Rapid Development (SSP1),SSP1,Denmark,208,30--34,2030,391.9
1,Rapid Development (SSP1),SSP1,Denmark,208,35--39,2030,404.8
1,Rapid Development (SSP1),SSP1,Denmark,208,40--44,2030,363
1,Rapid Development (SSP1),SSP1,Denmark,208,45--49,2030,332.3
1,Rapid Development (SSP1),SSP1,Denmark,208,50--54,2030,363.3
1,Rapid Development (SSP1),SSP1,Denmark,208,55--59,2030,385.4
1,Rapid Development (SSP1),SSP1,Denmark,208,60--64,2030,397.9
1,Rapid Development (SSP1),SSP1,Denmark,208,65--69,2030,364.5
1,Rapid Development (SSP1),SSP1,Denmark,208,70--74,2030,311.1
1,Rapid Development (SSP1),SSP1,Denmark,208,75--79,2030,271.5
1,Rapid Development (SSP1),SSP1,Denmark,208,80--84,2030,243.7
1,Rapid Development (SSP1),SSP1,Denmark,208,85--89,2030,139.5
1,Rapid Development (SSP1),SSP1,Denmark,208,90--94,2030,53
1,Rapid Development (SSP1),SSP1,Denmark,208,95--99,2030,12.3
1,Rapid Development (SSP1),SSP1,Denmark,208,100+,2030,1.6
1,Rapid Development (SSP1),SSP1,Denmark,208,0--4,2040,291.4
1,Rapid Development (SSP1),SSP1,Denmark,208,5--9,2040,303.1
1,Rapid Development (SSP1),SSP1,Denmark,208,10--14,2040,310.3
1,Rapid Development (SSP1),SSP1,Denmark,208,15--19,2040,305.5
1,Rapid Development (SSP1),SSP1,Denmark,208,20--24,2040,319.9
1,Rapid Development (SSP1),SSP1,Denmark,208,25--29,2040,327.9
1,Rapid Development (SSP1),SSP1,Denmark,208,30--34,2040,363.7
1,Rapid Development (SSP1),SSP1,Denmark,208,35--39,2040,368.3
1,Rapid Development (SSP1),SSP1,Denmark,208,40--44,2040,396
1,Rapid Development (SSP1),SSP1,Denmark,208,45--49,2040,406.6
1,Rapid Development (SSP1),SSP1,Denmark,208,50--54,2040,363
1,Rapid Development (SSP1),SSP1,Denmark,208,55--59,2040,329.5
1,Rapid Development (SSP1),SSP1,Denmark,208,60--64,2040,354.1
1,Rapid Development (SSP1),SSP1,Denmark,208,65--69,2040,368.1
1,Rapid Development (SSP1),SSP1,Denmark,208,70--74,2040,371.1
1,Rapid Development (SSP1),SSP1,Denmark,208,75--79,2040,327.4
1,Rapid Development (SSP1),SSP1,Denmark,208,80--84,2040,256.3
1,Rapid Development (SSP1),SSP1,Denmark,208,85--89,2040,183
1,Rapid Development (SSP1),SSP1,Denmark,208,90--94,2040,107.8
1,Rapid Development (SSP1),SSP1,Denmark,208,95--99,2040,28.1
1,Rapid Development (SSP1),SSP1,Denmark,208,100+,2040,3.2
1,Rapid Development (SSP1),SSP1,Denmark,208,0--4,2050,292
