if_family,if_role,age_group,temperature_C,mdd
masselot,sensitivity,<15,25,0.0
masselot,sensitivity,<15,30,0.0
masselot,sensitivity,<15,35,0.0
masselot,sensitivity,<15,40,0.0
masselot,sensitivity,<15,45,0.0
masselot,sensitivity,15-64,25,1.113336098447218e-06
masselot,sensitivity,15-64,30,1.1414347949354903e-06
masselot,sensitivity,15-64,35,1.1414347949354903e-06
masselot,sensitivity,15-64,40,1.1414347949354903e-06
masselot,sensitivity,15-64,45,1.1414347949354903e-06
masselot,sensitivity,65+,25,3.703375354151958e-05
masselot,sensitivity,65+,30,3.78537345172436e-05
masselot,sensitivity,65+,35,3.78537345172436e-05
masselot,sensitivity,65+,40,3.78537345172436e-05
masselot,sensitivity,65+,45,3.78537345172436e-05
masselot_tail,main,<15,25,0.0
masselot_tail,main,<15,30,0.0
masselot_tail,main,<15,35,0.0
masselot_tail,main,<15,40,0.0
masselot_tail,main,<15,45,0.0
masselot_tail,main,15-64,25,1.113336098447218e-06
masselot_tail,main,15-64,30,2.3944843128360816e-06
masselot_tail,main,15-64,35,3.313922390167732e-06
masselot_tail,main,15-64,40,3.976336948668661e-06
masselot_tail,main,15-64,45,4.455264314508856e-06
masselot_tail,main,65+,25,3.703375354151958e-05
masselot_tail,main,65+,30,7.083512629042226e-05
masselot_tail,main,65+,35,9.02192325285608e-05
masselot_tail,main,65+,40,0.00010140228758270483
masselot_tail,main,65+,45,0.00010788721445322187
burke_polynomial,sensitivity,<15,25,0.0
burke_polynomial,sensitivity,<15,30,0.0
burke_polynomial,sensitivity,<15,35,0.0
burke_polynomial,sensitivity,<15,40,0.0
burke_polynomial,sensitivity,<15,45,0.0
burke_polynomial,sensitivity,15-64,25,0.0
burke_polynomial,sensitivity,15-64,30,0.0
burke_polynomial,sensitivity,15-64,35,0.0
burke_polynomial,sensitivity,15-64,40,0.0
burke_polynomial,sensitivity,15-64,45,0.0
burke_polynomial,sensitivity,65+,25,0.0
burke_polynomial,sensitivity,65+,30,0.0
burke_polynomial,sensitivity,65+,35,0.0
burke_polynomial,sensitivity,65+,40,0.0
burke_polynomial,sensitivity,65+,45,0.0
burke_powerlaw,sensitivity,<15,25,1.3246310328132287e-07
burke_powerlaw,sensitivity,<15,30,2.9999999999999993e-07
burke_powerlaw,sensitivity,<15,35,5e-07
burke_powerlaw,sensitivity,<15,40,7.256569881481905e-07
burke_powerlaw,sensitivity,<15,45,7.256569881481905e-07
burke_powerlaw,sensitivity,15-64,25,1.0296019978951898e-07
burke_powerlaw,sensitivity,15-64,30,1.5e-06
burke_powerlaw,sensitivity,15-64,35,8e-06
burke_powerlaw,sensitivity,15-64,40,2.7113294734259123e-05
burke_powerlaw,sensitivity,15-64,45,2.7113294734259123e-05
burke_powerlaw,sensitivity,65+,25,4.87216631908287e-06
burke_powerlaw,sensitivity,65+,30,3.5000000000000004e-05
burke_powerlaw,sensitivity,65+,35,0.00012000000000000002
burke_powerlaw,sensitivity,65+,40,0.000294686275454035
burke_powerlaw,sensitivity,65+,45,0.000294686275454035
