region_id,region_name,GVI_baseline,SVI,population,ΔGVI_uniform,ΔGVI_equity,GVI_after_uniform,GVI_after_equity,Δallocation
1,1,11.32478789010505,0.5157744,63402.80859375,2.67521210989495,2.7971377,14.0,14.12192562737922,0.12192562737921975
2,2,12.05327461181381,0.53498167,81767.9296875,1.9467253881861897,2.901302,14.0,14.954576711041716,0.9545767110417156
3,3,14.009986404403161,0.62971944,53899.296875,0.0,0.0,14.009986404403161,14.009986404403161,0.0
4,4,15.384768745659152,0.58583224,40772.48828125,0.0,0.0,15.384768745659152,15.384768745659152,0.0
5,5,7.611424092747662,0.5160134,53235.17578125,6.388575907252338,2.7984338,14.0,10.409857873417828,-3.5901421265821716
6,6,10.223535921984217,0.5586614,74692.515625,3.776464078015783,3.0297215,14.0,13.253257420473597,-0.7467425795264031
7,7,11.153616739705116,0.5025049,78425.0390625,2.8463832602948838,2.7251747,14.0,13.878791405156166,-0.12120859484383395
8,8,14.606098745834197,0.54225564,66262.171875,0.0,0.0,14.606098745834197,14.606098745834197,0.0
9,9,13.923057733953437,0.4927541,40983.875,0.07694226604656329,2.6722944,14.0,16.595352112234075,2.5953521122340764
10,10,11.802410276506135,0.550199,75046.046875,2.1975897234938646,2.9838283,14.0,14.786238582704256,0.7862385827042555
