year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2020,low,0.08,0.9747164964675903,4.912684763700606,0.030646239239193393,0.02775739879938798,0.37650730616879513,15.0,117446.91440800001,117446.91440800001,0.0,0.003515669682278492,0.0271305695569149,0.0,0.003339886198164567,0.02441751260122341,0.0,0.08349715495411418,0.29301015121468094
2021,low,0.08,0.9746291774511338,5.293221726114817,0.03301714135673443,0.029897754388985294,0.40380786314512696,15.4,17990.328246352,17466.33810325437,0.0,0.0036465433584861066,0.029370597998248323,0.0,0.003464216190561801,0.026433538198423492,0.0,0.08660540476404503,0.3172024583810819
2022,low,0.08,0.9745418584346771,5.673758688529027,0.03538761815442544,0.032037726015371935,0.4311035222525557,15.8,18537.802489248,17473.65679069469,0.0,0.003777393527780768,0.03161022462664467,0.0,0.0035885238513917294,0.028449202163980208,0.0,0.08971309628479324,0.3413904259677625
2023,low,1.0,0.9744545394182205,6.054295650943238,0.47197087040333024,0.42721642098184875,5.7299285436385174,16.2,238616.71420860002,218368.09579025686,0.0,0.04885275237703091,0.42311811802629934,0.0,0.04641011475817936,0.3808063062236694,0.0,1.160252868954484,4.569675674684033
2024,low,1.0,0.9743672204017639,6.4348326133574485,0.5015911973782172,0.45395646723141503,6.0710018357588,16.6,245561.65235840002,218178.3475852135,0.0,0.050487791820390295,0.4511034055578269,0.0,0.047963402229370775,0.40599306500204424,0.0,1.1990850557342694,4.871916780024531
2025,low,1.0,0.9742799013853073,6.815369575771658,0.5312062078549789,0.48069171394084786,6.412013904517796,17.0,252557.34556500003,217858.1848451159,0.0,0.05212253742733774,0.4790836704276411,0.0,0.04951641055597085,0.43117530338487703,0.0,1.2379102638992712,5.174103640618524
2026,low,1.0,0.9741925823688508,7.195906538185869,0.5608159018336151,0.5074221611101473,6.7529647499155026,17.4,259603.7938284,217414.0903066342,0.0,0.053756989197873244,0.5070589126357419,0.0,0.05106913973797958,0.4563530213721677,0.0,1.2767284934494896,5.476236256466013
2027,low,1.0,0.9741052633523941,7.57644350060008,0.590420279314126,0.5341478087393132,7.09385437195192,17.8,266700.9971486,216852.31684833462,0.0,0.05539114713199681,0.5350291321821292,0.0,0.052621589775396965,0.4815262189639163,0.0,1.3155397443849242,5.778314627566996
2028,low,1.0,0.9740179443359375,7.95698046301429,0.6200193402965116,0.5608686568283459,7.434682770627049,18.2,273848.9555256,216178.89429913487,0.0,0.05702501122970844,0.5629943290668031,0.0,0.05417376066822301,0.5066948961601229,0.0,1.3543440167055754,6.080338753921474
2029,low,1.0,0.9739306253194809,8.337517425428501,0.6496130847807718,0.5875847053772452,7.775449945940892,18.6,281047.66895940003,215399.6360766567,0.0,0.05865858149100813,0.5909545032897637,0.0,0.05572565241645772,0.5318590529607874,0.0,1.3931413104114432,6.382308635529449
2030,low,1.0,0.9738433063030243,8.718054387842711,0.6792015127669068,0.6142959543860109,8.116155897893444,19.0,288297.13745,214520.1456586897,0.0,0.06029185791589589,0.6189096548510109,0.0,0.057277265020101095,0.5570186893659098,0.0,1.4319316255025274,6.684224272390917
2031,low,1.0,0.9738433063030243,9.297040825166132,0.7243088780811187,0.6549359846055709,8.614556415410192,19.8,300548.48087880004,217122.61723628137,0.0,0.06115988665128259,0.6631489914298361,0.0,0.05810189231871846,0.5968340922868525,0.0,1.4525473079679614,7.16200910744223
2032,low,1.0,0.9738433063030243,9.876027262489552,0.7694162433953307,0.6955760148251311,9.112956932926938,20.6,312808.9165572,219397.8804181826,0.0,0.06202791538666927,0.7073883280086614,0.0,0.058926519617335804,0.6366494952077952,0.0,1.4731629904333952,7.639793942493543
2033,low,1.0,0.9738433063030243,10.455013699812975,0.8145236087095427,0.7362160450446912,9.611357450443686,21.4,325078.44448520005,221362.60237509472,0.0,0.06289594412205596,0.7516276645874866,0.0,0.05975114691595316,0.676464898128738,0.0,1.493778672898829,8.117578777544857
2034,low,1.0,0.9738433063030243,11.034000137136395,0.8596309740237543,0.776856075264251,10.10975796796043,22.2,337357.06466280005,223032.7623672803,0.0,0.06376397285744265,0.7958670011663117,0.0,0.06057577421457051,0.7162803010496805,0.0,1.514394355364263,8.595363612596167
