year,warning_days,deaths_on_warning_days,ramp_factor,cost_capex,cost_opex,cost_total,cost_pv,discount_factor
2020,15.0,4.912684763700606,0.08,100000.0,17446.914408000004,117446.91440800001,117446.91440800001,1.0
2021,15.4,5.293221726114817,0.08,0.0,17990.328246352,17990.328246352,17466.33810325437,1.03
2022,15.8,5.673758688529027,0.08,0.0,18537.802489248,18537.802489248,17473.65679069469,1.0609
2023,16.2,6.054295650943238,1.0,0.0,238616.71420860002,238616.71420860002,218368.09579025686,1.092727
2024,16.6,6.4348326133574485,1.0,0.0,245561.65235840002,245561.65235840002,218178.3475852135,1.1255088100000001
2025,17.0,6.815369575771658,1.0,0.0,252557.34556500003,252557.34556500003,217858.1848451159,1.1592740743
2026,17.4,7.195906538185869,1.0,0.0,259603.7938284,259603.7938284,217414.0903066342,1.1940522965290001
2027,17.8,7.57644350060008,1.0,0.0,266700.9971486,266700.9971486,216852.31684833462,1.2298738654248702
2028,18.2,7.95698046301429,1.0,0.0,273848.9555256,273848.9555256,216178.89429913487,1.2667700813876164
2029,18.6,8.337517425428501,1.0,0.0,281047.66895940003,281047.66895940003,215399.6360766567,1.304773183829245
2030,19.0,8.718054387842711,1.0,0.0,288297.13745,288297.13745,214520.1456586897,1.3439163793441222
2031,19.8,9.297040825166132,1.0,0.0,300548.48087880004,300548.48087880004,217122.61723628137,1.384233870724446
2032,20.6,9.876027262489552,1.0,0.0,312808.9165572,312808.9165572,219397.8804181826,1.4257608868461793
2033,21.4,10.455013699812975,1.0,0.0,325078.44448520005,325078.44448520005,221362.60237509472,1.4685337134515648
2034,22.2,11.034000137136395,1.0,0.0,337357.06466280005,337357.06466280005,223032.7623672803,1.512589724855112
2035,23.0,11.612986574459816,1.0,0.0,349644.77709,349644.77709,224423.67752007855,1.557967416600765
2036,23.8,12.191973011783237,1.0,0.0,361941.5817668,361941.5817668,225550.02768610336,1.6047064390987882
2037,24.6,12.770959449106657,1.0,0.0,374247.47869320004,374247.47869320004,226425.87942532648,1.6528476322717518
2038,25.4,13.349945886430078,1.0,0.0,386562.46786920005,386562.46786920005,227064.70913321048,1.7024330612399046
2039,26.2,13.9289323237535,1.0,0.0,398886.54929480003,398886.54929480003,227479.4253460504,1.7535060530771016
2040,27.0,14.50791876107692,1.0,0.0,411219.72297000006,411219.72297000006,227682.3902517103,1.8061112346694148
2041,27.4,14.763121223766834,1.0,0.0,417903.5725074,417903.5725074,224643.76280116334,1.8602945717094972
2042,27.8,15.018323686456746,1.0,0.0,424604.6981176,424604.6981176,221598.0077870893,1.9161034088607822
2043,28.2,15.27352614914666,1.0,0.0,431323.0998006001,431323.0998006001,218547.85557608155,1.9735865111266058
2044,28.6,15.528728611836573,1.0,0.0,438058.7775564001,438058.7775564001,215495.89117963772,2.032794106460404
