year,trees_only_raw,trees_only_dynamic,trees_on_top_raw,trees_on_top_dynamic,maturity_factor,ac_gross
2020,0.029428700204565672,0.0,0.02800363707627973,0.0,0.0,0.4407558108993408
2021,0.03135154245794212,0.0006270308491588424,0.029831229161515614,0.0005966245832303123,0.02,0.47270124771634014
2022,0.033274384711318564,0.0014418900041571379,0.0316588212467515,0.0013718822540258982,0.043333333333333335,0.5046466845333395
2023,0.035197226964695,0.0024638058875286503,0.03348641333198739,0.0023440489332391175,0.07,0.5365921213503388
2024,0.03712006921807145,0.003712006921807145,0.03531400541722327,0.0035314005417223272,0.1,0.5685375581673382
2025,0.039042911471447894,0.005205721529526386,0.037141597502459156,0.0049522130003278875,0.13333333333333333,0.6004829949843375
2026,0.04096575372482434,0.006964178133220137,0.03896918958769504,0.006624762229908156,0.16999999999999998,0.6324284318013369
2027,0.042888595978200786,0.009006605155422164,0.040796781672930924,0.008567324151315494,0.21,0.6643738686183362
2028,0.044811438231577225,0.011202859557894306,0.042624373758166814,0.010656093439541704,0.25,0.6963193054353356
2029,0.04673428048495367,0.013552941340636563,0.0444519658434027,0.012891070094586782,0.29,0.728264742252335
2030,0.048657122738330116,0.016056850503648936,0.04627955792863858,0.01527225411645073,0.32999999999999996,0.7602101790693343
2031,0.050671736956022076,0.018748542673728164,0.04817850940387025,0.01782604847943199,0.36999999999999994,0.8056141960926293
2032,0.05268635117371403,0.021601403981222747,0.05007746087910192,0.020531758960431783,0.4099999999999999,0.8510182131159244
2033,0.05470096539140599,0.02461543442613269,0.05197641235433359,0.02338938555945011,0.4499999999999999,0.8964222301392194
2034,0.05671557960909794,0.027790634008457986,0.05387536382956526,0.02639892827648697,0.4899999999999999,0.9418262471625145
2035,0.0587301938267899,0.03112700272819864,0.05577431530479693,0.029560387111542366,0.5299999999999999,0.9872302641858095
2036,0.06074480804448186,0.034624540585354656,0.0576732667800286,0.0328737620646163,0.57,1.0326342812091045
2037,0.06275942226217382,0.03828324757992603,0.05957221825526027,0.03633905313570876,0.61,1.0780382982323995
2038,0.06477403647986577,0.04210312371191275,0.06147116973049194,0.03995626032481976,0.65,1.1234423152556947
2039,0.06678865069755772,0.04608416898131484,0.0633701212057236,0.04372538363194929,0.6900000000000001,1.1688463322789897
2040,0.06880326491524968,0.050226383388132276,0.06526907268095528,0.047646423057097355,0.7300000000000001,1.2142503493022847
2041,0.0703844545375972,0.05419602999394985,0.06678901792649583,0.051427543803401796,0.7700000000000001,1.231216757658537
2042,0.07196564415994473,0.05829217176955524,0.06830896317203639,0.055330260169349485,0.8100000000000002,1.2481831660147897
2043,0.07354683378229225,0.06251480871494842,0.06982890841757694,0.059354572154940416,0.8500000000000002,1.2651495743710421
2044,0.07512802340463978,0.06686394083012942,0.0713488536631175,0.06350047976017459,0.8900000000000002,1.2821159827272948
