scenario,scenario_name,scenario_abb,name,country_code,age,year,pop
1,Rapid Development (SSP1),SSP1,Portugal,620,0--4,2030,380.6
1,Rapid Development (SSP1),SSP1,Portugal,620,5--9,2030,408
1,Rapid Development (SSP1),SSP1,Portugal,620,10--14,2030,457.7
1,Rapid Development (SSP1),SSP1,Portugal,620,15--19,2030,474.6
1,Rapid Development (SSP1),SSP1,Portugal,620,20--24,2030,511
1,Rapid Development (SSP1),SSP1,Portugal,620,25--29,2030,544.6
1,Rapid Development (SSP1),SSP1,Portugal,620,30--34,2030,552.5
1,Rapid Development (SSP1),SSP1,Portugal,620,35--39,2030,550.6
1,Rapid Development (SSP1),SSP1,Portugal,620,40--44,2030,570.1
1,Rapid Development (SSP1),SSP1,Portugal,620,45--49,2030,671.1
1,Rapid Development (SSP1),SSP1,Portugal,620,50--54,2030,770.5
1,Rapid Development (SSP1),SSP1,Portugal,620,55--59,2030,768.4
1,Rapid Development (SSP1),SSP1,Portugal,620,60--64,2030,717.5
1,Rapid Development (SSP1),SSP1,Portugal,620,65--69,2030,699.8
1,Rapid Development (SSP1),SSP1,Portugal,620,70--74,2030,622.1
1,Rapid Development (SSP1),SSP1,Portugal,620,75--79,2030,543.1
1,Rapid Development (SSP1),SSP1,Portugal,620,80--84,2030,427.4
1,Rapid Development (SSP1),SSP1,Portugal,620,85--89,2030,260.8
1,Rapid Development (SSP1),SSP1,Portugal,620,90--94,2030,127.1
1,Rapid Development (SSP1),SSP1,Portugal,620,95--99,2030,33.8
1,Rapid Development (SSP1),SSP1,Portugal,620,100+,2030,3.7
1,Rapid Development (SSP1),SSP1,Portugal,620,0--4,2040,368.7
1,Rapid Development (SSP1),SSP1,Portugal,620,5--9,2040,386.6
1,Rapid Development (SSP1),SSP1,Portugal,620,10--14,2040,398.7
1,Rapid Development (SSP1),SSP1,Portugal,620,15--19,2040,423
1,Rapid Development (SSP1),SSP1,Portugal,620,20--24,2040,465.4
1,Rapid Development (SSP1),SSP1,Portugal,620,25--29,2040,483.7
1,Rapid Development (SSP1),SSP1,Portugal,620,30--34,2040,520.3
1,Rapid Development (SSP1),SSP1,Portugal,620,35--39,2040,545.3
1,Rapid Development (SSP1),SSP1,Portugal,620,40--44,2040,551.9
1,Rapid Development (SSP1),SSP1,Portugal,620,45--49,2040,553.4
1,Rapid Development (SSP1),SSP1,Portugal,620,50--54,2040,571.1
1,Rapid Development (SSP1),SSP1,Portugal,620,55--59,2040,661.8
1,Rapid Development (SSP1),SSP1,Portugal,620,60--64,2040,748.6
1,Rapid Development (SSP1),SSP1,Portugal,620,65--69,2040,739.8
1,Rapid Development (SSP1),SSP1,Portugal,620,70--74,2040,682
1,Rapid Development (SSP1),SSP1,Portugal,620,75--79,2040,645.3
1,Rapid Development (SSP1),SSP1,Portugal,620,80--84,2040,532.3
1,Rapid Development (SSP1),SSP1,Portugal,620,85--89,2040,384
1,Rapid Development (SSP1),SSP1,Portugal,620,90--94,2040,195.5
1,Rapid Development (SSP1),SSP1,Portugal,620,95--99,2040,54.6
