year,scenario,baseline_deaths_total,baseline_deaths_on_warning_days,baseline_warning_days,ramp_factor,ac_coverage,ac_penalty,gross_avoided_deaths,net_avoided_deaths,life_years_saved,policy_deaths_total,gross_avoided_<15,gross_avoided_15-64,gross_avoided_65+,net_avoided_<15,net_avoided_15-64,net_avoided_65+,lys_<15,lys_15-64,lys_65+
2020,central,142.5782996555154,77.79289348151475,28,0.15,0.4071896970272064,0.9185620605945587,0.9653749534769045,0.7400045732921274,10.125976817892552,141.83829508222325,0.0,0.10648905456299343,0.8588858989139111,0.0,0.09584014910669408,0.6441644241854333,0.0,2.396003727667352,7.729973090225199
2030,central,181.01563296407403,120.57935536019748,41,1.0,0.44091108441352844,0.9118177831172943,10.147805940209013,7.737879571539124,102.76251393629386,173.27775339253492,0.0,0.8468341092157582,9.300971830993255,0.0,0.7621506982941824,6.975728873244941,0.0,19.05376745735456,83.7087464789393
2040,central,219.50388737106633,162.18397285709105,51,1.0,0.44752436876296997,0.910495126247406,13.994408895213445,10.61166108975541,136.37657770800053,208.8922262813109,0.0,0.772362788968855,13.222046106244589,0.0,0.6951265100719696,9.916534579683441,0.0,17.378162751799238,118.99841495620129
2050,central,236.26986674422199,186.88181839895174,58,1.0,0.5004947185516357,0.8999010562896729,16.25960993556981,12.27839314802016,153.86820209098036,223.9914735962018,0.0,0.5579046422853393,15.701705293284471,0.0,0.5021141780568054,11.776278969963354,0.0,12.552854451420133,141.31534763956023
2020,high,142.5782996555154,77.79289348151475,28,0.15,0.4071896970272064,0.8371241211891174,1.6030256001163148,1.0006345362763938,14.026211598060186,141.577665119239,0.0,0.19409588103302494,1.40892971908329,0.0,0.15527670482641998,0.8453578314499739,0.0,3.8819176206604995,10.144293977399688
2030,high,181.01563296407403,120.57935536019748,41,1.0,0.44091108441352844,0.8236355662345887,16.65252183521176,10.297487695597525,139.48053125963455,170.71814526847652,0.0,1.5298729723523319,15.12264886285943,0.0,1.2238983778818655,9.073589317715658,0.0,30.59745944704664,108.8830718125879
2040,high,219.50388737106633,162.18397285709105,51,1.0,0.44752436876296997,0.8209902524948121,22.852964052975214,13.990353155736297,182.37012351429632,205.51353421533003,0.0,1.39287361975584,21.460090433219374,0.0,1.114298895804672,12.876054259931625,0.0,27.8574723951168,154.5126511191795
2050,high,236.26986674422199,186.88181839895174,58,1.0,0.5004947185516357,0.7998021125793457,26.11096983963604,15.86492073598942,200.6926681066784,220.40494600823257,0.0,0.9916941610389778,25.119275678597063,0.0,0.7933553288311823,15.071565407158237,0.0,19.83388322077956,180.85878488589884
2020,low,142.5782996555154,77.79289348151475,28,0.15,0.4071896970272064,0.9592810302972794,0.4929635856139145,0.44589141928424775,5.900072512646968,142.13240823623116,0.0,0.04448384463449358,0.44847974097942095,0.0,0.042259652402768896,0.40363176688147884,0.0,1.0564913100692224,4.843581202577746
2030,low,181.01563296407403,120.57935536019748,41,1.0,0.44091108441352844,0.9559088915586471,5.230474143919797,4.725182387942529,61.08783628374398,176.2904505761315,0.0,0.3551131682942217,4.875360975625576,0.0,0.3373575098795106,4.387824878063018,0.0,8.433937746987764,52.653898536756216
2040,low,219.50388737106633,162.18397285709105,51,1.0,0.44752436876296997,0.955247563123703,7.260096775364257,6.550293613398118,82.60653270663816,212.95359375766822,0.0,0.32413031140572895,6.935966463958528,0.0,0.3079237958354425,6.242369817562675,0.0,7.698094895886062,74.9084378107521
2050,low,236.26986674422199,186.88181839895174,58,1.0,0.5004947185516357,0.9499505281448364,8.523064050536622,7.682536313946325,95.09976687780713,228.58733043027567,0.0,0.23557336926730577,8.287490681269317,0.0,0.22379470080394046,7.458741613142385,0.0,5.594867520098512,89.50489935770861
