year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2020,low,0.15,0.9592810302972794,77.79289348151475,0.4929635856139145,0.44589141928424775,5.900072512646968,28.0,104303.741808,104303.741808,0.0,0.04448384463449358,0.44847974097942095,0.0,0.042259652402768896,0.40363176688147884,0.0,1.0564913100692224,4.843581202577746
2021,low,0.15,0.9589438164234161,82.07153966938303,0.5222174721659284,0.47226397474471393,6.2274253963950255,29.3,109109.370813765,105931.42797452911,0.0,0.04536499590756748,0.4768524762583609,0.0,0.043096746112189104,0.4291672286325248,0.0,1.0774186528047276,5.150006743590298
2022,low,1.0,0.9586066025495529,86.3501858572513,3.676337750038714,3.324119147190456,43.69697728872189,30.6,759411.4171644001,715818.0951686306,0.0,0.30830344311226116,3.368034306926453,0.0,0.2928882709566481,3.0312308762338076,0.0,7.322206773916203,36.37477051480569
2023,low,1.0,0.9582693886756897,90.62883204511957,3.871087710890338,3.4996874085720733,45.876240689244966,31.9,791405.1139379,724247.7891897062,0.0,0.31416937541539114,3.5569183354749465,0.0,0.29846090664462155,3.2012265019274517,0.0,7.461522666115538,38.414718023129424
2024,low,1.0,0.9579321748018265,94.90747823298784,4.065699696994394,3.6751312824429467,48.05395951086938,33.2,823376.8957456002,731559.7074229922,0.0,0.32003110295983966,3.745668594034554,0.0,0.30402954781184766,3.371101734631099,0.0,7.600738695296191,40.45322081557319
2025,low,1.0,0.9575949609279633,99.18612442085612,4.26017370835088,3.850450768803073,50.23013375359512,34.5,855326.7625875,737812.3789268458,0.0,0.3258886257456068,3.9342850826052738,0.0,0.3095941944583264,3.5408565743447467,0.0,7.73985486145816,42.490278892136956
2026,low,1.0,0.9572577470541,103.4647706087244,4.4545097449598,4.025645867652455,52.40476341742221,35.8,887254.7144636,743061.8550316159,0.0,0.33174194377269256,4.122767801187107,0.0,0.3151548465840579,3.7104910210683966,0.0,7.878871164601447,44.52589225282076
2027,low,1.0,0.9569205331802368,107.74341679659267,4.648707806821151,4.2007165789910905,54.57784850235063,37.1,919160.7513739001,747361.804502097,0.0,0.33759105704109704,4.311116749780054,0.0,0.32071150418904215,3.8800050748020487,0.0,8.017787604726054,46.56006089762458
2028,low,1.0,0.9565833193063736,112.02206298446094,4.842767893934935,4.375662902818982,56.74938900838041,38.4,951044.8733184,750763.6052444719,0.0,0.34343596555081995,4.499331928384115,0.0,0.32626416727327895,4.0493987355457035,0.0,8.156604181831973,48.59278482654844
2029,low,1.0,0.9562461054325104,116.3007091723292,5.036690006301151,4.550484839136129,58.91938493551154,39.7,982907.0802971001,753316.4326787181,0.0,0.3492766693018616,4.687413336999289,0.0,0.33181283583676846,4.2186720032993605,0.0,8.295320895919211,50.62406403959233
2030,low,1.0,0.9559088915586471,120.57935536019748,5.230474143919797,4.725182387942529,61.08783628374398,41.0,1014747.37231,755067.3448933124,0.0,0.3551131682942217,4.875360975625576,0.0,0.3373575098795106,4.387824878063018,0.0,8.433937746987764,52.653898536756216
2031,low,1.0,0.9558427587151528,124.73981710988684,5.433563094246693,4.907807433193698,63.241049346127674,42.0,1037188.7817060001,749287.2437539634,0.0,0.3520129674334664,5.081550126813227,0.0,0.33441231906179303,4.5733951141319045,0.0,8.360307976544826,54.88074136958285
2032,low,1.0,0.9557766258716583,128.9002788595762,5.636623891866378,5.090407162288064,65.39396387071264,43.0,1059520.2612680001,743126.1939101772,0.0,0.3489131921664679,5.28771069969991,0.0,0.3314675325581445,4.75893962972992,0.0,8.286688313953611,57.107275556759035
2033,low,1.0,0.9557104930281639,133.06074060926557,5.839656536778851,5.272981575225629,67.54657985749888,44.0,1081741.8109960002,736613.5357243728,0.0,0.34581384249322633,5.493842694285625,0.0,0.328523150368565,4.944458424857063,0.0,8.213078759214126,59.333501098284756
2034,low,1.0,0.9556443601846695,137.2212023589549,6.042661028984114,5.45553067200639,69.69889730648637,45.0,1103853.43089,729777.1581753512,0.0,0.3427149184137417,5.699946110570372,0.0,0.32557917249305457,5.129951499513335,0.0,8.139479312326364,61.559417994160015
2035,low,1.0,0.955578227341175,141.38166410864426,6.245637368482164,5.6380544526303495,71.85091621767516,46.0,1125855.1209500001,722643.5604195339,0.0,0.33961641992801395,5.906020948554151,0.0,0.32263559893161325,5.315418853698736,0.0,8.065889973290332,63.78502624438483
2036,low,1.0,0.9555120944976807,145.54212585833363,6.448585555273007,5.820552917097508,74.00263659106524,47.0,1147746.8811760002,715237.9109418798,0.0,0.33651834703604316,6.112067208236963,0.0,0.319692429684241,5.500860487413267,0.0,7.992310742106025,66.01032584895921
2037,low,1.0,0.9554459616541863,149.70258760802298,6.651505589356636,6.003026065407864,76.15405842665656,48.0,1169528.711568,707584.1043862855,0.0,0.33342069973782923,6.318084889618807,0.0,0.31674966475093774,5.686276400656927,0.0,7.918741618773444,68.23531680788312
