year,warning_days,deaths_on_warning_days,ramp_factor,cost_capex,cost_opex,cost_total,cost_pv,discount_factor
2020,28.0,77.79289348151475,0.15,0.0,104303.741808,104303.741808,104303.741808,1.0
2021,29.3,82.07153966938303,0.15,0.0,109109.370813765,109109.370813765,105931.42797452911,1.03
2022,30.6,86.3501858572513,1.0,0.0,759411.4171644001,759411.4171644001,715818.0951686306,1.0609
2023,31.9,90.62883204511957,1.0,0.0,791405.1139379,791405.1139379,724247.7891897062,1.092727
2024,33.2,94.90747823298784,1.0,0.0,823376.8957456002,823376.8957456002,731559.7074229922,1.1255088100000001
2025,34.5,99.18612442085612,1.0,0.0,855326.7625875,855326.7625875,737812.3789268458,1.1592740743
2026,35.8,103.4647706087244,1.0,0.0,887254.7144636,887254.7144636,743061.8550316159,1.1940522965290001
2027,37.1,107.74341679659267,1.0,0.0,919160.7513739001,919160.7513739001,747361.804502097,1.2298738654248702
2028,38.4,112.02206298446094,1.0,0.0,951044.8733184,951044.8733184,750763.6052444719,1.2667700813876164
2029,39.7,116.3007091723292,1.0,0.0,982907.0802971001,982907.0802971001,753316.4326787181,1.304773183829245
2030,41.0,120.57935536019748,1.0,0.0,1014747.37231,1014747.37231,755067.3448933124,1.3439163793441222
2031,42.0,124.73981710988684,1.0,0.0,1037188.7817060001,1037188.7817060001,749287.2437539634,1.384233870724446
2032,43.0,128.9002788595762,1.0,0.0,1059520.2612680001,1059520.2612680001,743126.1939101772,1.4257608868461793
2033,44.0,133.06074060926557,1.0,0.0,1081741.8109960002,1081741.8109960002,736613.5357243728,1.4685337134515648
2034,45.0,137.2212023589549,1.0,0.0,1103853.43089,1103853.43089,729777.1581753512,1.512589724855112
2035,46.0,141.38166410864426,1.0,0.0,1125855.1209500001,1125855.1209500001,722643.5604195339,1.557967416600765
2036,47.0,145.54212585833363,1.0,0.0,1147746.8811760002,1147746.8811760002,715237.9109418798,1.6047064390987882
2037,48.0,149.70258760802298,1.0,0.0,1169528.711568,1169528.711568,707584.1043862855,1.6528476322717518
2038,49.0,153.86304935771233,1.0,0.0,1191200.612126,1191200.612126,699704.816152027,1.7024330612399046
2039,50.0,158.0235111074017,1.0,0.0,1212762.5828500001,1212762.5828500001,691621.554839694,1.7535060530771016
2040,51.0,162.18397285709105,1.0,0.0,1234214.6237400002,1234214.6237400002,683354.7126270477,1.8061112346694148
2041,51.7,164.65375741127713,1.0,0.0,1248543.0055483002,1248543.0055483002,671153.3885738136,1.8602945717094972
2042,52.4,167.12354196546318,1.0,0.0,1262800.6611192,1262800.6611192,659046.195147681,1.9161034088607822
2043,53.1,169.59332651964925,1.0,0.0,1276987.5904527,1276987.5904527,647039.0749295008,1.9735865111266058
2044,53.8,172.06311107383533,1.0,0.0,1291103.7935488,1291103.7935488,635137.5131625752,2.032794106460404
