year,tree_cooling_C,ac_warming_C,net_dT_C,trees_on_top_deaths,ac_penalty_deaths,net_health_impact
2020,,0.1283177199023382,,0.0,3.363840122064726,-3.363840122064726
2021,,0.1275406887580756,,0.165072386223243,3.4453459808304343,-3.2802735946071913
2022,,0.1267628312742749,,0.3646746163832168,3.5268839259036993,-3.1622093095204824
2023,,0.1259841463047235,,0.6004261780721192,3.608418525264202,-3.007992347192083
2024,,0.1252046327012375,,0.873946558882148,3.689914272965763,-2.815967714083615
2025,,0.1244242893136582,,1.1868552464055009,3.771335588966932,-2.5844803425614313
2026,,0.1236431149898473,,1.5407717282343758,3.852646818961148,-2.311875090726772
2027,,0.1228611085756838,,1.9373154919609703,3.93381223420646,-1.9964967422454898
2028,,0.1220782689150588,,2.346815156425147,4.014796031354798,-1.6679808749296514
2029,,0.1212945948498723,,2.769270721626906,4.095562332280842,-1.3262916106539362
2030,,0.1205100852200293,,3.2046821875662466,4.176075183910433,-0.9713929963441861
2031,,0.120333797941721,,3.652091126615301,4.272188117073329,-0.6200969904580278
2032,,0.1201568196081955,,4.112248738806721,4.368988865909946,-0.25674012710322547
2033,,0.1199791461494114,,4.585155024140508,4.466469393118176,0.11868563102233143
2034,,0.1198007734633134,,5.070809982616663,4.564621598179649,0.5061883844370145
2035,,0.1196216974155177,,5.569213614235186,4.663437316737186,0.9057762974979999
2036,,0.1194419138389925,,6.080365918996075,4.76290831996489,1.3174575990311856
2037,,0.1192614185337355,,6.6042668968993326,4.86302631393076,1.7412405829685724
2038,,0.1190802072664475,,7.140916547944956,4.963782938951725,2.1771336089932305
2039,,0.1188982757702012,,7.690314872132947,5.0651697689409865,2.6251451031919606
2040,,0.1187156197441074,,8.252461869463305,5.167178310747614,3.085283558715691
2041,,0.117488937484529,,8.754107793515029,5.166824819222162,3.587282974292867
2042,,0.1162568618989495,,9.2608920274446,5.165160066264871,4.0957319611797285
2043,,0.1150193579957779,,9.772814571252017,5.1621626284763735,4.610651942775643
2044,,0.1137763904844134,,10.289875424937282,5.157810895202356,5.132064529734926
