region_id,region_name,GVI_baseline,SVI,population,ΔGVI_uniform,ΔGVI_equity,GVI_after_uniform,GVI_after_equity,Δallocation
1,ajuda,24.040357009370222,0.49609724,11459.2255859375,0.0,0.0,24.040357009370222,24.040357009370222,0.0
2,alcantara,24.043077331824584,0.47972783,13552.08984375,0.0,0.0,24.043077331824584,24.043077331824584,0.0
3,alvalade,13.09265015161028,0.4335634,30049.22265625,5.607349848389719,4.5081186,18.7,17.600768781065845,-1.0992312189341522
4,areeiro,17.05719688402393,0.47580016,19245.56640625,1.6428031159760685,4.947289,18.7,22.004485874044683,3.3044858740446834
5,arroios,19.56228974220484,0.5631702,27841.10546875,0.0,0.0,19.56228974220484,19.56228974220484,0.0
6,avenidas novas,13.620736696841696,0.4750127,23941.083984375,5.079263303158303,4.939101,18.7,18.559837916018942,-0.1401620839810569
7,beato,19.916988938938925,0.5834375,10415.833984375,0.0,0.0,19.916988938938925,19.916988938938925,0.0
8,belem,10.707455901091413,0.45190147,18265.69921875,7.992544098908587,4.6987944,18.7,15.406250266020612,-3.2937497339793875
9,benfica,14.737175895686066,0.4668996,33663.13671875,3.962824104313933,4.8547425,18.7,19.59191842269412,0.8919184226941237
10,campo de ourique,21.831408485653746,0.49099052,18538.828125,0.0,0.0,21.831408485653746,21.831408485653746,0.0
11,campolide,15.948626618867944,0.48769176,14719.720703125,2.751373381132055,5.0709357,18.7,21.019562345033716,2.3195623450337166
12,carnide,11.22543922000679,0.46012568,17321.87890625,7.47456077999321,4.7843084,18.7,16.009747653539506,-2.690252346460495
13,estrela,14.16267159257488,0.5037745,22466.14453125,4.53732840742512,5.2381616,18.7,19.400833156448172,0.7008331564481711
14,lumiar,14.360847593257022,0.41819558,45989.33203125,4.339152406742977,4.348326,18.7,18.709173799464295,0.009173799464297971
15,marvila,14.91676924921938,0.5270873,35866.7578125,3.7832307507806195,5.4805636,18.7,20.39733288981386,1.6973328898138629
16,misericordia,8.195483759665297,0.5949739,8729.16015625,10.504516240334702,6.1864376,18.7,14.38192136647682,-4.318078633523179
17,olivais,12.098414300160734,0.49883544,32590.45703125,6.601585699839266,5.1868057,18.7,17.28522002525839,-1.4147799747416094
18,parque das nacoes,14.738723506237093,0.5229728,23006.32421875,3.961276493762906,5.4377823,18.7,20.17650579383475,1.4765057938347503
19,penha de franca,19.9797704390252,0.5544002,30850.197265625,0.0,0.0,19.9797704390252,19.9797704390252,0.0
20,santa clara,11.359497419634774,0.527625,25030.916015625,7.340502580365225,5.486155,18.7,16.845652452746346,-1.8543475472536528
21,santa maria maior,8.909788874669204,0.64554715,10851.4677734375,9.790211125330796,6.71229,18.7,15.622078684849868,-3.0779213151501317
22,santo antonio,16.883540102750914,0.53886557,15551.3134765625,1.8164598972490857,5.603032,18.7,22.486572214872496,3.7865722148724963
23,sao domingos de benfica,12.366838945562105,0.4233161,36902.73046875,6.333161054437895,4.4015684,18.7,16.768407358342866,-1.931592641657133
24,sao vicente,18.319875116773257,0.5783762,16638.7265625,0.38012488322674187,6.013857,18.7,24.33373200459064,5.633732004590641
