year,trees_only_raw,trees_only_dynamic,trees_on_top_raw,trees_on_top_dynamic,maturity_factor,ac_gross
2020,8.60907746477477,0.0,8.091670551942372,0.0,0.0,5.293157856302827
2021,8.778874324808465,0.1755774864961693,8.253619311162149,0.165072386223243,0.02,5.408374264582579
2022,8.948671184842159,0.3877757513431602,8.415568070381926,0.3646746163832168,0.043333333333333335,5.523590672862332
2023,9.11846804487585,0.6382927631413096,8.577516829601702,0.6004261780721192,0.07,5.638807081142085
2024,9.288264904909544,0.9288264904909544,8.73946558882148,0.873946558882148,0.1,5.754023489421837
2025,9.458061764943238,1.2610749019924317,8.901414348041257,1.1868552464055009,0.13333333333333333,5.86923989770159
2026,9.627858624976932,1.6367359662460783,9.063363107261035,1.5407717282343758,0.16999999999999998,5.984456305981342
2027,9.797655485010626,2.0575076518522315,9.225311866480812,1.9373154919609705,0.21,6.099672714261095
2028,9.967452345044318,2.4918630862610796,9.387260625700588,2.346815156425147,0.25,6.214889122540848
2029,10.137249205078012,2.939802269472623,9.549209384920365,2.769270721626906,0.29,6.3301055308206005
2030,10.307046065111706,3.4013252014868627,9.711158144140143,3.2046821875662466,0.32999999999999996,6.445321939100353
2031,10.476600379008508,3.876342140233147,9.870516558419732,3.6520911266153004,0.36999999999999994,6.590196818783591
2032,10.64615469290531,4.364923424091176,10.029874972699321,4.112248738806721,0.4099999999999999,6.735071698466828
2033,10.815709006802113,4.867069053060949,10.18923338697891,4.585155024140508,0.4499999999999999,6.879946578150066
2034,10.985263320698914,5.382779027142466,10.348591801258499,5.070809982616663,0.4899999999999999,7.024821457833303
2035,11.154817634595716,5.912053346335728,10.507950215538088,5.569213614235186,0.5299999999999999,7.169696337516541
2036,11.324371948492518,6.454892010640735,10.667308629817677,6.080365918996075,0.57,7.314571217199779
2037,11.49392626238932,7.011295020057484,10.826667044097267,6.6042668968993326,0.61,7.459446096883016
2038,11.663480576286123,7.58126237458598,10.986025458376854,7.140916547944956,0.65,7.604320976566254
2039,11.833034890182924,8.164794074226219,11.145383872656444,7.690314872132947,0.6900000000000001,7.749195856249491
2040,12.002589204079726,8.7618901189782,11.304742286936033,8.252461869463305,0.7300000000000001,7.894070735932729
2041,12.064395772137198,9.289584744545644,11.368971160409126,8.754107793515029,0.7700000000000001,7.877972254069507
2042,12.12620234019467,9.822223895557684,11.433200033882219,9.2608920274446,0.8100000000000002,7.861873772206286
2043,12.18800890825214,10.359807572014322,11.49742890735531,9.772814571252017,0.8500000000000002,7.845775290343065
2044,12.249815476309612,10.902335773915558,11.561657780828403,10.289875424937282,0.8900000000000002,7.829676808479843
