year,activity_share,activity_days_equiv,pen_base,pen_current,pen_policy,dT_night_base,dT_night_current,dT_night_policy,dT_night_incremental,dT_dm_base,dT_dm_current,dT_dm_policy,dT_dm_incremental,marginal_perC,marginal_current_full_perC,marginal_policy_full_perC,marginal_current_active_perC,marginal_policy_active_perC,penalty_base,penalty_current,penalty_policy,penalty_incremental
2020,0.2885054314125524,105.59298789699419,0.6955036525361185,0.6955036525361185,0.7817991764138545,0.8341941858372742,0.8341941858372742,0.9637176763091025,0.12952349047182832,0.4170970929186371,0.4170970929186371,0.48185883815455127,0.06476174523591416,111.24264399243806,385.58249474813204,368.1929908960507,111.24264399243806,106.22567768154309,46.39898341782881,46.39898341782881,51.185781629808204,4.786798211979395
2021,0.29005418570395386,106.12943267021446,0.6964855503008237,0.6964855503008237,0.7823716732948889,0.8356630063011052,0.8356630063011052,0.9645798857457902,0.128916879444685,0.4178315031505526,0.4178315031505526,0.4822899428728951,0.0644584397223425,113.02907025066729,389.68260353267686,372.1665217217124,113.02907025066729,107.94845740426415,47.22710632254572,47.22710632254572,52.06245535471971,4.835349032173987
2022,0.29160293999535525,106.66587744343471,0.6974739510927972,0.6974739510927972,0.7829479617751735,0.8371416694560929,0.8371416694560929,0.9654478445552516,0.12830617509915865,0.41857083472804646,0.41857083472804646,0.4827239222776258,0.06415308754957932,114.82819663104704,393.7827123172217,376.1400525473742,114.82819663104704,109.68354517282172,48.06373411417361,48.06373411417361,52.94687113513965,4.883137020966039
2023,0.2931516942867567,107.20232221665498,0.6984689197301951,0.6984689197301951,0.7835280796470258,0.8386302745563091,0.8386302745563091,0.9663216104340131,0.12769133587770398,0.41931513727815456,0.41931513727815456,0.48316080521700655,0.06384566793885199,116.64002313357736,397.8828211017665,380.1135833730359,116.64002313357736,111.43094098721582,48.90892731238311,48.90892731238311,53.839063173471935,4.9301358610888215
2024,0.2947004485781581,107.73876698987524,0.6994705218954681,0.6994705218954681,0.7841120652066916,0.8401289221946553,0.8401289221946553,0.9672012418531576,0.1270723196585023,0.42006446109732765,0.42006446109732765,0.4836006209265788,0.06353615982925115,118.46454975825823,401.98292988631135,384.0871141986977,118.46454975825823,113.19064484744644,49.7627472533403,49.7627472533403,54.73906613130495,4.976318877964651
2025,0.2962492028695595,108.27521176309551,0.7004788241498158,0.7004788241498158,0.784699957262773,0.8416377143255106,0.8416377143255106,0.9680867980713652,0.12644908374585462,0.4208188571627553,0.4208188571627553,0.4840433990356826,0.06322454187292731,120.30177650508966,406.0830386708562,388.0606450243594,120.30177650508966,114.96265675351358,50.62525610352104,50.62525610352104,55.64691513714319,5.02165903362215
2026,0.29779795716096097,108.81165653631577,0.7014938939479312,0.7014938939479312,0.7852917951448234,0.8431567542878392,0.8431567542878392,0.9689783391482168,0.12582158486037764,0.4215783771439196,0.4215783771439196,0.4844891695741084,0.06291079243018882,122.15170337407164,410.183147455401,392.03417585002114,122.15170337407164,116.74697670541724,51.49651687380657,51.49651687380657,56.56264579429538,5.066128920488808
2027,0.29934671145236236,109.34810130953603,0.7025157996530437,0.7025157996530437,0.7858876187121211,0.8446861468287726,0.8446861468287726,0.9698759259577726,0.12518977912899998,0.4223430734143863,0.4223430734143863,0.4849379629788863,0.06259488956449999,124.01433036520416,414.28325623994584,396.0077066756829,124.01433036520416,118.54360470315741,52.37659343386738,52.37659343386738,57.48629418892348,5.109700755056103
2028,0.3008954657437638,109.8845460827563,0.7035446105522676,0.7035446105522676,0.7864874683626156,0.8462259981276745,0.8462259981276745,0.9707796202024221,0.12455362207474763,0.42311299906383726,0.42311299906383726,0.48538981010121107,0.062276811037373814,125.88965747848727,418.3833650244907,399.98123750134465,125.88965747848727,120.3525407467341,53.26555052684198,53.26555052684198,58.417896898255535,5.152346371413557
2029,0.3024442200351652,110.42099085597656,0.7045803968722613,0.7045803968722613,0.7870913850420598,0.8477764158206993,0.8477764158206993,0.9716894844270236,0.12391306860632434,0.42388820791034965,0.42388820791034965,0.4858447422135118,0.06195653430316217,127.77768471392088,422.4834738090355,403.95476832700643,127.77768471392088,122.1737848361473,54.163453784317596,54.163453784317596,59.357490998967045,5.194037214649448
