month,month_name,lcz,coef_t2m,coef_lst,slope_median,coef_lst_as_t2m,abs_gap,ratio_abs,sign_check
1,Jan,2,0.0,0.0,1.319786548614502,0.0,0.0,,both_zero
2,Feb,2,-0.0061543930358233,-0.0204176586432946,1.3207812309265137,-0.01545877406886819,0.00930438103304489,2.5118275642920818,same_cooling_sign
3,Mar,2,-0.0063019671635677,-0.0319367564810824,1.3583300113677979,-0.023511780063611373,0.017209812900043673,3.730863626128571,same_cooling_sign
4,Apr,2,-0.0070916366189549,-0.0528888240487152,1.397544026374817,-0.0378441201497652,0.030752483530810303,5.336443783458031,same_cooling_sign
5,May,2,-0.0078099179177546,-0.0682958285773205,1.4473463296890259,-0.047186929055186407,0.039377011137431805,6.041923814322614,same_cooling_sign
6,Jun,2,-0.0078209455839676,-0.0646604677294279,1.5039558410644531,-0.04299359460159631,0.03517264901762871,5.497237404353027,same_cooling_sign
7,Jul,2,-0.0080804686340521,-0.062144760598388,1.5419191122055054,-0.04030351534426367,0.032223046710211575,4.9877695427737505,same_cooling_sign
8,Aug,2,-0.0083395164809114,-0.0532687022380496,1.5480625629425049,-0.034409915666972955,0.026070399186061556,4.126128384749281,same_cooling_sign
9,Sep,2,-0.0068560489678139,-0.0454997589237435,1.4869478940963745,-0.030599430621873893,0.023743381654059995,4.4631289486881744,same_cooling_sign
10,Oct,2,-0.0064568362999988,-0.0307305294254663,1.4353951215744019,-0.02140910817068945,0.014952271870690648,3.31572726579632,same_cooling_sign
11,Nov,2,-0.0061455428567883,-0.0171384976822578,1.3829765319824219,-0.012392471806944326,0.006246928950156026,2.0164975000142964,same_cooling_sign
12,Dec,2,0.0,0.0,1.3378934860229492,0.0,0.0,,both_zero
1,Jan,3,0.0,0.0,1.253367304801941,0.0,0.0,,both_zero
2,Feb,3,0.0,-0.0433379377445886,1.2540425062179565,-0.034558587551621896,0.034558587551621896,,same_cooling_sign
3,Mar,3,0.0,-0.0744154730316879,1.2917993068695068,-0.05760606360133703,0.05760606360133703,,same_cooling_sign
4,Apr,3,0.0,-0.115616055230944,1.3304593563079834,-0.08689935147795709,0.08689935147795709,,same_cooling_sign
5,May,3,0.0,-0.14112910821279,1.380549669265747,-0.10222675167337536,0.10222675167337536,,same_cooling_sign
6,Jun,3,0.0,-0.144774027945428,1.4368476867675781,-0.10075808958646178,0.10075808958646178,,same_cooling_sign
7,Jul,3,0.0,-0.136600126615216,1.475527048110962,-0.09257717558624073,0.09257717558624073,,same_cooling_sign
8,Aug,3,0.0,-0.110668946678353,1.481389045715332,-0.07470620023716543,0.07470620023716543,,same_cooling_sign
