year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2020,low,0.1,0.802180951833725,289.30295676575474,1.7153520194850462,1.5480538540463897,19.623194266489136,22.0,74660.571216,74660.571216,0.0,0.0847407301969601,1.6306112892880862,0.0,0.08050369368711209,1.4675501603592775,0.0,2.0125923421778023,17.610601924311332
2021,low,0.1,0.8018682688474655,319.14501792716595,1.8983374091455412,1.7129724890853928,21.65946862006293,24.3,82194.70786380001,79800.68724640778,0.0,0.08937641708811485,1.8089609920574263,0.0,0.0849075962337091,1.6280648928516837,0.0,2.1226899058427273,19.536778714220205
2022,low,0.1,0.801555585861206,348.98707908857716,2.0811795695769906,1.8777620357648224,23.694148946123978,26.6,89677.48982640001,84529.63505174853,0.0,0.09400846291061614,1.9871711066663744,0.0,0.08930803976508533,1.788453995999737,0.0,2.2327009941271334,21.461447951996846
2023,low,1.0,0.8012429028749466,378.8291402499883,22.638785007793942,20.424224940846777,257.27235244672266,28.9,971089.1710380001,888684.1553635997,0.0,0.9863686766446402,21.6524163311493,0.0,0.9370502428124082,19.48717469803437,0.0,23.426256070310206,233.84609637641245
2024,low,1.0,0.8009302198886872,408.6712014113995,24.464342027527522,22.069538640449597,277.58727515707795,31.2,1044889.8969599999,928371.1399469186,0.0,1.0326163134965844,23.431725714030936,0.0,0.9809854978217551,21.08855314262784,0.0,24.524637445543878,253.06263771153408
2025,low,1.0,0.8006175369024277,438.51326257281073,26.288466754970646,23.71356145645668,297.8862575923058,33.5,1118177.07603,964549.3682804772,0.0,1.0788275396619942,25.209639215308652,0.0,1.0248861626788943,22.688675293777788,0.0,25.622154066972357,272.26410352533344
2026,low,1.0,0.8003048539161682,468.35532373422194,28.111159190123313,25.35629338886803,318.16929975240606,35.8,1190950.708248,997402.4686439477,0.0,1.1250023551408694,26.986156834982445,0.0,1.0687522373838259,24.287541151484202,0.0,26.718805934595647,291.4504938178104
2027,low,1.0,0.7999921709299087,498.19738489563315,29.932419332985518,26.997734437683626,338.4364016373787,38.1,1263210.7936140003,1027105.9733248446,0.0,1.1711407599332104,28.76127857305231,0.0,1.1125837219365498,25.885150715747077,0.0,27.814593048413744,310.62180858896494
2028,low,1.0,0.7996794879436493,528.0394460570443,31.752247183557277,28.6378846029035,358.68756324722386,40.4,1334957.332128,1053827.6453969385,0.0,1.2172427540390167,30.53500442951826,0.0,1.1563806163370658,27.481503986566434,0.0,28.909515408426646,329.7780478387972
2029,low,1.0,0.7993668049573899,557.8815072184556,33.570642741838576,30.276743884527633,378.92278458194147,42.699999999999996,1406190.3237899998,1077727.793012358,0.0,1.263308337458289,32.307334404380285,0.0,1.2001429205853744,29.07660096394226,0.0,30.00357301463436,348.9192115673071
