year,warning_days,deaths_on_warning_days,ramp_factor,cost_capex,cost_opex,cost_total,cost_pv,discount_factor
2020,22.0,289.30295676575474,0.1,0.0,74660.571216,74660.571216,74660.571216,1.0
2021,24.3,319.14501792716595,0.1,0.0,82194.70786380001,82194.70786380001,79800.68724640778,1.03
2022,26.6,348.98707908857716,0.1,0.0,89677.48982640001,89677.48982640001,84529.63505174853,1.0609
2023,28.9,378.8291402499883,1.0,0.0,971089.1710380001,971089.1710380001,888684.1553635997,1.092727
2024,31.2,408.6712014113995,1.0,0.0,1044889.8969599999,1044889.8969599999,928371.1399469186,1.1255088100000001
2025,33.5,438.51326257281073,1.0,0.0,1118177.07603,1118177.07603,964549.3682804772,1.1592740743
2026,35.8,468.35532373422194,1.0,0.0,1190950.708248,1190950.708248,997402.4686439477,1.1940522965290001
2027,38.1,498.19738489563315,1.0,0.0,1263210.7936140003,1263210.7936140003,1027105.9733248446,1.2298738654248702
2028,40.4,528.0394460570443,1.0,0.0,1334957.332128,1334957.332128,1053827.6453969385,1.2667700813876164
2029,42.699999999999996,557.8815072184556,1.0,0.0,1406190.3237899998,1406190.3237899998,1077727.793012358,1.304773183829245
2030,45.0,587.7235683798667,1.0,0.0,1476909.7686,1476909.7686,1098959.5716667902,1.3439163793441222
2031,45.8,601.1930132363959,1.0,0.0,1499643.551742,1499643.551742,1083374.4090925574,1.384233870724446
2032,46.6,614.6624580929251,1.0,0.0,1522254.2819400001,1522254.2819400001,1067678.5258903173,1.4257608868461793
2033,47.4,628.1319029494542,1.0,0.0,1544741.959194,1544741.959194,1051894.1070568408,1.4685337134515648
2034,48.2,641.6013478059834,1.0,0.0,1567106.5835040002,1567106.5835040002,1036042.0659700768,1.512589724855112
2035,49.0,655.0707926625126,1.0,0.0,1589348.1548700002,1589348.1548700002,1020142.101776238,1.557967416600765
2036,49.8,668.5402375190419,1.0,0.0,1611466.6732919998,1611466.6732919998,1004212.7544505949,1.6047064390987882
2037,50.6,682.0096823755711,1.0,0.0,1633462.1387700003,1633462.1387700003,988271.4576206234,1.6528476322717518
2038,51.4,695.4791272321002,1.0,0.0,1655334.5513040002,1655334.5513040002,972334.5892368879,1.7024330612399046
2039,52.2,708.9485720886294,1.0,0.0,1677083.9108940002,1677083.9108940002,956417.5201739431,1.7535060530771016
2040,53.0,722.4180169451586,1.0,0.0,1698710.21754,1698710.21754,940534.6608404919,1.8061112346694148
2041,53.6,738.2944989858701,1.0,0.0,1714585.0204000003,1714585.0204000003,921673.9362005455,1.8602945717094972
2042,54.2,754.1709810265816,1.0,0.0,1730384.6916440001,1730384.6916440001,903074.794211028,1.9161034088607822
2043,54.8,770.0474630672929,1.0,0.0,1746109.231272,1746109.231272,884739.1393424389,1.9735865111266058
2044,55.4,785.9239451080044,1.0,0.0,1761758.639284,1761758.639284,866668.5099513873,2.032794106460404
