year,tree_cooling_C,ac_warming_C,net_dT_C,trees_on_top_deaths,ac_penalty_deaths,net_health_impact
2020,,0.0647617452359141,,0.0,4.786798211979395,-4.786798211979395
2021,,0.0644584397223425,,0.2834477812246171,4.835349032173987,-4.55190125094937
2022,,0.0641530875495793,,0.6220085495247502,4.883137020966039,-4.261128471441289
2023,,0.0638456679388519,,1.0174988487938024,4.9301358610888215,-3.9126370122950194
2024,,0.0635361598292511,,1.4717352229251766,4.976318877964651,-3.5045836550394744
2025,,0.0632245418729273,,1.9865342158122756,5.02165903362215,-3.0351248178098746
2026,,0.0629107924301888,,2.563712371348503,5.066128920488808,-2.502416549140305
2027,,0.0625948895644999,,3.205086233427262,5.109700755056103,-1.904614521628841
2028,,0.0622768110373738,,3.8609924466532446,5.152346371413557,-1.2913539247603127
2029,,0.0619565343031621,,4.531431011026451,5.194037214649448,-0.6626062036229969
2030,,0.0616340365037349,,5.216401926546883,5.234744334113884,-0.018342407567001118
2031,,0.0605913590595743,,5.8739838504385355,5.143420373668377,0.7305634767701585
2032,,0.0595433299148815,,6.5370340513636815,5.050995932746645,1.4860381186170368
2033,,0.0584899080441623,,7.205552529322322,4.957462868538208,2.248089660784114
2034,,0.0574310520039892,,7.879539284314457,4.862812954571865,3.0167263297425917
2035,,0.0563667199276921,,8.558994316340085,4.7670378796451445,3.7919564366949405
2036,,0.0552968695199709,,9.243917625399208,4.67012924673768,4.573788378661527
2037,,0.0542214580514219,,9.934309211491826,4.5720785719073405,5.362230639584485
2038,,0.0531404423529855,,10.630169074617935,4.472877283170256,6.15729179144768
2039,,0.0520537788103034,,11.33149721477754,4.3725167193625225,6.958980495415018
2040,,0.0509614233579942,,12.03829363197064,4.270988128985259,7.767305502985382
2041,,0.0509623656474056,,12.843044016458572,4.333819107287212,8.50922490917136
2042,,0.0509633116323626,,13.662871580864296,4.396999948930379,9.265871631933917
2043,,0.0509642613346477,,14.49777632518781,4.4605307135202,10.03724561166761
2044,,0.0509652147762157,,15.347758249429113,4.524411461131557,10.823346788297556
